           t	          E1	          E2	          E3	          E4	     J_V0300	     J_V0400	
           0	      0.0005	    0.000999	           2	           5	          -1	           0	
      0.0005	      0.0005	    0.000999	           2	      0.0314	          -1	           0	
       0.001	         0.5	           1	           2	      0.0628	        -0.5	           0	
      0.0015	         0.5	           1	           2	      0.0942	        -0.5	           0	
       0.002	         0.5	           1	           2	       0.126	        -0.5	           0	
      0.0025	         0.5	           1	           2	       0.157	        -0.5	           0	
       0.003	         0.5	           1	           2	       0.188	        -0.5	           0	
      0.0035	         0.5	           1	           2	        0.22	        -0.5	           0	
       0.004	         0.5	           1	           2	       0.251	        -0.5	           0	
      0.0045	         0.5	           1	           2	       0.283	        -0.5	           0	
       0.005	         0.5	           1	           2	       0.314	        -0.5	           0	
      0.0055	         0.5	           1	           2	       0.345	        -0.5	           0	
       0.006	         0.5	           1	           2	       0.377	        -0.5	           0	
      0.0065	         0.5	           1	           2	       0.408	        -0.5	           0	
       0.007	         0.5	           1	           2	       0.439	        -0.5	           0	
      0.0075	         0.5	           1	           2	       0.471	        -0.5	           0	
       0.008	         0.5	           1	           2	       0.502	        -0.5	           0	
      0.0085	         0.5	           1	           2	       0.533	        -0.5	           0	
       0.009	         0.5	           1	           2	       0.564	        -0.5	           0	
      0.0095	         0.5	           1	           2	       0.595	        -0.5	           0	
        0.01	         0.5	           1	           2	       0.627	        -0.5	           0	
      0.0105	         0.5	           1	           2	       0.658	        -0.5	           0	
       0.011	         0.5	           1	           2	       0.689	        -0.5	           0	
      0.0115	         0.5	           1	           2	        0.72	        -0.5	           0	
       0.012	         0.5	           1	           2	       0.751	        -0.5	           0	
      0.0125	         0.5	           1	           2	       0.782	        -0.5	           0	
       0.013	         0.5	           1	           2	       0.813	        -0.5	           0	
      0.0135	         0.5	           1	           2	       0.844	        -0.5	           0	
       0.014	         0.5	           1	           2	       0.875	        -0.5	           0	
      0.0145	         0.5	           1	           2	       0.906	        -0.5	           0	
       0.015	         0.5	           1	           2	       0.937	        -0.5	           0	
      0.0155	         0.5	           1	           2	       0.968	        -0.5	           0	
       0.016	         0.5	           1	           2	       0.999	        -0.5	           0	
      0.0165	         0.5	           1	           2	        1.03	        -0.5	           0	
       0.017	      0.0005	    0.000999	           2	        1.06	          -1	           0	
      0.0175	      0.0005	    0.000999	           2	        1.09	          -1	           0	
       0.018	      0.0005	    0.000999	           2	        1.12	          -1	           0	
      0.0185	      0.0005	    0.000999	           2	        1.15	          -1	           0	
       0.019	      0.0005	    0.000999	           2	        1.18	          -1	           0	
      0.0195	      0.0005	    0.000999	           2	        1.21	          -1	           0	
        0.02	      0.0005	    0.000999	           2	        1.24	          -1	           0	
      0.0205	      0.0005	    0.000999	           2	        1.27	          -1	           0	
       0.021	      0.0005	    0.000999	           2	         1.3	          -1	           0	
      0.0215	      0.0005	    0.000999	           2	        1.33	          -1	           0	
       0.022	      0.0005	    0.000999	           2	        1.36	          -1	           0	
      0.0225	      0.0005	    0.000999	           2	        1.39	          -1	           0	
       0.023	      0.0005	    0.000999	           2	        1.43	          -1	           0	
      0.0235	      0.0005	    0.000999	           2	        1.46	          -1	           0	
       0.024	      0.0005	    0.000999	           2	        1.49	          -1	           0	
      0.0245	      0.0005	    0.000999	           2	        1.52	          -1	           0	
       0.025	      0.0005	    0.000999	           2	        1.55	          -1	           0	
      0.0255	      0.0005	    0.000999	           2	        1.57	          -1	           0	
       0.026	      0.0005	    0.000999	           2	         1.6	          -1	           0	
      0.0265	      0.0005	    0.000999	           2	        1.63	          -1	           0	
       0.027	      0.0005	    0.000999	           2	        1.66	          -1	           0	
      0.0275	      0.0005	    0.000999	           2	        1.69	          -1	           0	
       0.028	      0.0005	    0.000999	           2	        1.72	          -1	           0	
      0.0285	      0.0005	    0.000999	           2	        1.75	          -1	           0	
       0.029	      0.0005	    0.000999	           2	        1.78	          -1	           0	
      0.0295	      0.0005	    0.000999	           2	        1.81	          -1	           0	
        0.03	      0.0005	    0.000999	           2	        1.84	          -1	           0	
      0.0305	      0.0005	    0.000999	           2	        1.87	          -1	           0	
       0.031	      0.0005	    0.000999	           2	         1.9	          -1	           0	
      0.0315	      0.0005	    0.000999	           2	        1.93	          -1	           0	
       0.032	      0.0005	    0.000999	           2	        1.96	          -1	           0	
      0.0325	      0.0005	    0.000999	           2	        1.99	          -1	           0	
       0.033	      0.0005	    0.000999	           2	        2.01	          -1	           0	
      0.0335	      0.0005	    0.000999	           2	        2.04	          -1	           0	
       0.034	      0.0005	    0.000999	           2	        2.07	          -1	           0	
      0.0345	      0.0005	    0.000999	           2	         2.1	          -1	           0	
       0.035	      0.0005	    0.000999	           2	        2.13	          -1	           0	
      0.0355	      0.0005	    0.000999	           2	        2.16	          -1	           0	
       0.036	      0.0005	    0.000999	           2	        2.19	          -1	           0	
      0.0365	      0.0005	    0.000999	           2	        2.21	          -1	           0	
       0.037	      0.0005	    0.000999	           2	        2.24	          -1	           0	
      0.0375	      0.0005	    0.000999	           2	        2.27	          -1	           0	
       0.038	      0.0005	    0.000999	           2	         2.3	          -1	           0	
      0.0385	      0.0005	    0.000999	           2	        2.33	          -1	           0	
       0.039	      0.0005	    0.000999	           2	        2.35	          -1	           0	
      0.0395	      0.0005	    0.000999	           2	        2.38	          -1	           0	
        0.04	      0.0005	    0.000999	           2	        2.41	          -1	           0	
      0.0405	      0.0005	    0.000999	           2	        2.44	          -1	           0	
       0.041	      0.0005	    0.000999	           2	        2.46	          -1	           0	
      0.0415	      0.0005	    0.000999	           2	        2.49	          -1	           0	
       0.042	      0.0005	    0.000999	           2	        2.52	          -1	           0	
      0.0425	      0.0005	    0.000999	           2	        2.55	          -1	           0	
       0.043	      0.0005	    0.000999	           2	        2.57	          -1	           0	
      0.0435	      0.0005	    0.000999	           2	         2.6	          -1	           0	
       0.044	      0.0005	    0.000999	           2	        2.63	          -1	           0	
      0.0445	      0.0005	    0.000999	           2	        2.65	          -1	           0	
       0.045	      0.0005	    0.000999	           2	        2.68	          -1	           0	
      0.0455	      0.0005	    0.000999	           2	        2.71	          -1	           0	
       0.046	      0.0005	    0.000999	           2	        2.73	          -1	           0	
      0.0465	      0.0005	    0.000999	           2	        2.76	          -1	           0	
       0.047	      0.0005	    0.000999	           2	        2.78	          -1	           0	
      0.0475	      0.0005	    0.000999	           2	        2.81	          -1	           0	
       0.048	      0.0005	    0.000999	           2	        2.84	          -1	           0	
      0.0485	      0.0005	    0.000999	           2	        2.86	          -1	           0	
       0.049	      0.0005	    0.000999	           2	        2.89	          -1	           0	
      0.0495	      0.0005	    0.000999	           2	        2.91	          -1	           0	
        0.05	      0.0005	    0.000999	           2	        2.94	          -1	           0	
      0.0505	      0.0005	    0.000999	           2	        2.96	          -1	           0	
       0.051	      0.0005	    0.000999	           2	        2.99	          -1	           0	
      0.0515	      0.0005	    0.000999	           2	        3.01	          -1	           0	
       0.052	      0.0005	    0.000999	           2	        3.04	          -1	           0	
      0.0525	      0.0005	    0.000999	           2	        3.06	          -1	           0	
       0.053	      0.0005	    0.000999	           2	        3.09	          -1	           0	
      0.0535	      0.0005	    0.000999	           2	        3.11	          -1	           0	
       0.054	      0.0005	    0.000999	           2	        3.14	          -1	           0	
      0.0545	      0.0005	    0.000999	           2	        3.16	          -1	           0	
       0.055	      0.0005	    0.000999	           2	        3.19	          -1	           0	
      0.0555	      0.0005	    0.000999	           2	        3.21	          -1	           0	
       0.056	      0.0005	    0.000999	           2	        3.24	          -1	           0	
      0.0565	      0.0005	    0.000999	           2	        3.26	          -1	           0	
       0.057	      0.0005	    0.000999	           2	        3.28	          -1	           0	
      0.0575	      0.0005	    0.000999	           2	        3.31	          -1	           0	
       0.058	      0.0005	    0.000999	           2	        3.33	          -1	           0	
      0.0585	      0.0005	    0.000999	           2	        3.35	          -1	           0	
       0.059	      0.0005	    0.000999	           2	        3.38	          -1	           0	
      0.0595	      0.0005	    0.000999	           2	         3.4	          -1	           0	
        0.06	      0.0005	    0.000999	           2	        3.42	          -1	           0	
      0.0605	      0.0005	    0.000999	           2	        3.45	          -1	           0	
       0.061	      0.0005	    0.000999	           2	        3.47	          -1	           0	
      0.0615	      0.0005	    0.000999	           2	        3.49	          -1	           0	
       0.062	      0.0005	    0.000999	           2	        3.51	          -1	           0	
      0.0625	      0.0005	    0.000999	           2	        3.54	          -1	           0	
       0.063	      0.0005	    0.000999	           2	        3.56	          -1	           0	
      0.0635	      0.0005	    0.000999	           2	        3.58	          -1	           0	
       0.064	      0.0005	    0.000999	           2	         3.6	          -1	           0	
      0.0645	      0.0005	    0.000999	           2	        3.62	          -1	           0	
       0.065	      0.0005	    0.000999	           2	        3.64	          -1	           0	
      0.0655	      0.0005	    0.000999	           2	        3.67	          -1	           0	
       0.066	      0.0005	    0.000999	           2	        3.69	          -1	           0	
      0.0665	      0.0005	    0.000999	           2	        3.71	          -1	           0	
       0.067	      0.0005	    0.000999	           2	        3.73	          -1	           0	
      0.0675	      0.0005	    0.000999	           2	        3.75	          -1	           0	
       0.068	      0.0005	    0.000999	           2	        3.77	          -1	           0	
      0.0685	      0.0005	    0.000999	           2	        3.79	          -1	           0	
       0.069	      0.0005	    0.000999	           2	        3.81	          -1	           0	
      0.0695	      0.0005	    0.000999	           2	        3.83	          -1	           0	
        0.07	      0.0005	    0.000999	           2	        3.85	          -1	           0	
      0.0705	      0.0005	    0.000999	           2	        3.87	          -1	           0	
       0.071	      0.0005	    0.000999	           2	        3.89	          -1	           0	
      0.0715	      0.0005	    0.000999	           2	        3.91	          -1	           0	
       0.072	      0.0005	    0.000999	           2	        3.93	          -1	           0	
      0.0725	      0.0005	    0.000999	           2	        3.95	          -1	           0	
       0.073	      0.0005	    0.000999	           2	        3.97	          -1	           0	
      0.0735	      0.0005	    0.000999	           2	        3.99	          -1	           0	
       0.074	      0.0005	    0.000999	           2	        4.01	          -1	           0	
      0.0745	      0.0005	    0.000999	           2	        4.03	          -1	           0	
       0.075	      0.0005	    0.000999	           2	        4.05	          -1	           0	
      0.0755	      0.0005	    0.000999	           2	        4.06	          -1	           0	
       0.076	      0.0005	    0.000999	           2	        4.08	          -1	           0	
      0.0765	      0.0005	    0.000999	           2	         4.1	          -1	           0	
       0.077	      0.0005	    0.000999	           2	        4.12	          -1	           0	
      0.0775	      0.0005	    0.000999	           2	        4.14	          -1	           0	
       0.078	      0.0005	    0.000999	           2	        4.15	          -1	           0	
      0.0785	      0.0005	    0.000999	           2	        4.17	          -1	           0	
       0.079	      0.0005	    0.000999	           2	        4.19	          -1	           0	
