           T	          E1	          E2	       J_V01	
           0	           1	 0.909090909	-0.909090909	
         0.1	           1	 0.826446306	-0.826446306	
         0.2	           1	 0.751314813	-0.751314813	
         0.3	           1	 0.683013472	-0.683013472	
         0.4	           1	 0.620921363	-0.620921363	
         0.5	           1	 0.564473976	-0.564473976	
         0.6	           1	  0.51315817	 -0.51315817	
         0.7	           1	 0.466507402	-0.466507402	
         0.8	           1	 0.424097668	-0.424097668	
         0.9	           1	 0.385543325	-0.385543325	
