f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
1 8.72665e-08 90 1 0 0.00343422 -179.999 1.00002 -3.40177e-08 1 0 0.00156717 9.07979e-06 0.891358 -1.63253e-08 0 0 0.0017504 -179.999 0.00152125 -179.999 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00143436 0.00171184 -179.999 0 0 0 0 0 0 2.24023e-15 90 3.82331e-18 -89.9986 4.61055e-15 -90 3.36144e-17 -89.9986 3.21378e-07 180 
1.02353 8.93199e-08 90 1 0 0.00343422 -179.999 1.00002 -3.48182e-08 1 0 0.00156717 9.29345e-06 0.891358 -1.67094e-08 0 0 0.0017504 -179.999 0.00152125 -179.999 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00146811 0.00171184 -179.999 0 0 0 0 0 0 2.29294e-15 90 3.91328e-18 -89.9985 4.71904e-15 -90 3.44054e-17 -89.9985 3.21378e-07 180 
1.04762 9.14217e-08 90 1 0 0.00343422 -179.998 1.00002 -3.56375e-08 1 0 0.00156717 9.51213e-06 0.891358 -1.71026e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00150266 0.00171184 -179.999 0 0 0 0 0 0 2.3469e-15 90 4.00536e-18 -89.9985 4.83009e-15 -90 3.5215e-17 -89.9985 3.21378e-07 180 
1.07227 9.3573e-08 90 1 0 0.00343422 -179.998 1.00002 -3.64761e-08 1 0 0.00156717 9.73596e-06 0.891358 -1.75051e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00153802 0.00171184 -179.998 0 0 0 0 0 0 2.40212e-15 90 4.09961e-18 -89.9985 4.94374e-15 -90 3.60436e-17 -89.9985 3.21378e-07 180 
1.0975 9.57748e-08 90 1 0 0.00343422 -179.998 1.00002 -3.73344e-08 1 0 0.00156717 9.96506e-06 0.891358 -1.7917e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00157421 0.00171184 -179.998 0 0 0 0 0 0 2.45865e-15 90 4.19608e-18 -89.9984 5.06007e-15 -90 3.68917e-17 -89.9984 3.21378e-07 180 
1.12332 9.80285e-08 90 1 0 0.00343422 -179.998 1.00002 -3.82129e-08 1 0 0.00156717 1.01995e-05 0.891358 -1.83386e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00161125 0.00171184 -179.998 0 0 0 0 0 0 2.5165e-15 90 4.29482e-18 -89.9984 5.17914e-15 -90 3.77598e-17 -89.9984 3.21378e-07 180 
1.14976 1.00335e-07 90 1 0 0.00343422 -179.998 1.00002 -3.91121e-08 1 0 0.00156717 1.04396e-05 0.891358 -1.87701e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00164917 0.00171184 -179.998 0 0 0 0 0 0 2.57572e-15 90 4.39588e-18 -89.9984 5.30101e-15 -90 3.86484e-17 -89.9984 3.21378e-07 180 
1.17681 1.02696e-07 90 1 0 0.00343422 -179.998 1.00002 -4.00324e-08 1 0 0.00156717 1.06852e-05 0.891358 -1.92118e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00168797 0.00171184 -179.998 0 0 0 0 0 0 2.63632e-15 90 4.49932e-18 -89.9983 5.42575e-15 -90 3.95578e-17 -89.9983 3.21378e-07 180 
1.2045 1.05113e-07 90 1 0 0.00343422 -179.998 1.00002 -4.09744e-08 1 0 0.00156717 1.09366e-05 0.891358 -1.96639e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00172769 0.00171184 -179.998 0 0 0 0 0 0 2.69836e-15 90 4.60519e-18 -89.9983 5.55343e-15 -90 4.04886e-17 -89.9983 3.21378e-07 180 
1.23285 1.07586e-07 90 1 0 0.00343422 -179.998 1.00002 -4.19386e-08 1 0 0.00156717 1.1194e-05 0.891358 -2.01266e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00176835 0.00171184 -179.998 0 0 0 0 0 0 2.76186e-15 90 4.71356e-18 -89.9982 5.6841e-15 -90 4.14414e-17 -89.9982 3.21378e-07 180 
1.26186 1.10118e-07 90 1 0 0.00343422 -179.998 1.00002 -4.29255e-08 1 0 0.00156717 1.14574e-05 0.891358 -2.06002e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00180996 0.00171184 -179.998 0 0 0 0 0 0 2.82684e-15 90 4.82447e-18 -89.9982 5.81786e-15 -90 4.24165e-17 -89.9982 3.21378e-07 180 
1.29155 1.12709e-07 90 1 0 0.00343422 -179.998 1.00002 -4.39356e-08 1 0 0.00156717 1.1727e-05 0.891358 -2.10849e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00185255 0.00171184 -179.998 0 0 0 0 0 0 2.89336e-15 90 4.938e-18 -89.9981 5.95476e-15 -90 4.34146e-17 -89.9981 3.21378e-07 180 
1.32194 1.15361e-07 90 1 0 0.00343422 -179.998 1.00002 -4.49694e-08 1 0 0.00156717 1.20029e-05 0.891358 -2.15811e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00189614 0.00171184 -179.998 0 0 0 0 0 0 2.96145e-15 90 5.05419e-18 -89.9981 6.09488e-15 -90 4.44362e-17 -89.9981 3.21378e-07 180 
1.35305 1.18076e-07 90 1 0 0.00343422 -179.998 1.00002 -4.60276e-08 1 0 0.00156717 1.22854e-05 0.891358 -2.20889e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00194076 0.00171184 -179.998 0 0 0 0 0 0 3.03113e-15 90 5.17312e-18 -89.9981 6.2383e-15 -90 4.54819e-17 -89.9981 3.21378e-07 180 
1.38489 1.20854e-07 90 1 0 0.00343422 -179.998 1.00002 -4.71107e-08 1 0 0.00156717 1.25745e-05 0.891358 -2.26087e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00198643 0.00171184 -179.998 0 0 0 0 0 0 3.10246e-15 90 5.29485e-18 -89.998 6.38509e-15 -90 4.65521e-17 -89.998 3.21378e-07 180 
1.41747 1.23698e-07 90 1 0 0.00343422 -179.998 1.00002 -4.82192e-08 1 0 0.00156717 1.28704e-05 0.891358 -2.31407e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00203317 0.00171184 -179.998 0 0 0 0 0 0 3.17546e-15 90 5.41944e-18 -89.998 6.53534e-15 -90 4.76475e-17 -89.998 3.21378e-07 180 
1.45083 1.26609e-07 90 1 0 0.00343422 -179.998 1.00002 -4.93539e-08 1 0 0.00156717 1.31732e-05 0.891358 -2.36852e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00208101 0.00171184 -179.998 0 0 0 0 0 0 3.25018e-15 90 5.54697e-18 -89.9979 6.68912e-15 -90 4.87687e-17 -89.9979 3.21378e-07 180 
1.48497 1.29588e-07 90 1 0 0.00343422 -179.998 1.00002 -5.05152e-08 1 0 0.00156717 1.34832e-05 0.891358 -2.42425e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00212998 0.00171184 -179.998 0 0 0 0 0 0 3.32666e-15 90 5.67749e-18 -89.9979 6.84652e-15 -90 4.99163e-17 -89.9979 3.21378e-07 180 
1.51991 1.32637e-07 90 1 0 0.00343422 -179.998 1.00002 -5.17039e-08 1 0 0.00156717 1.38005e-05 0.891358 -2.4813e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.0021801 0.00171184 -179.998 0 0 0 0 0 0 3.40494e-15 90 5.81109e-18 -89.9978 7.00763e-15 -90 5.10909e-17 -89.9978 3.21378e-07 180 
1.55568 1.35758e-07 90 1 0 0.00343422 -179.998 1.00002 -5.29205e-08 1 0 0.00156717 1.41252e-05 0.891358 -2.53969e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.0022314 0.00171184 -179.998 0 0 0 0 0 0 3.48507e-15 90 5.94783e-18 -89.9978 7.17252e-15 -90 5.22931e-17 -89.9978 3.21378e-07 180 
1.59228 1.38953e-07 90 1 0 0.00343422 -179.998 1.00002 -5.41658e-08 1 0 0.00156717 1.44576e-05 0.891358 -2.59945e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00228391 0.00171184 -179.998 0 0 0 0 0 0 3.56707e-15 90 6.08779e-18 -89.9977 7.3413e-15 -90 5.35236e-17 -89.9977 3.21378e-07 180 
1.62975 1.42223e-07 90 1 0 0.00343422 -179.998 1.00002 -5.54404e-08 1 0 0.00156717 1.47978e-05 0.891358 -2.66062e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00233765 0.00171184 -179.998 0 0 0 0 0 0 3.65101e-15 90 6.23104e-18 -89.9977 7.51405e-15 -90 5.47831e-17 -89.9977 3.21378e-07 180 
1.6681 1.45569e-07 90 1 0 0.00343422 -179.998 1.00002 -5.6745e-08 1 0 0.00156717 1.5146e-05 0.891358 -2.72322e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00239266 0.00171184 -179.998 0 0 0 0 0 0 3.73692e-15 90 6.37767e-18 -89.9976 7.69086e-15 -90 5.60722e-17 -89.9976 3.21378e-07 180 
1.70735 1.48995e-07 90 1 0 0.00343422 -179.998 1.00002 -5.80802e-08 1 0 0.00156717 1.55024e-05 0.891358 -2.7873e-08 0 0 0.0017504 -179.998 0.00152125 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00244896 0.00171184 -179.998 0 0 0 0 0 0 3.82486e-15 90 6.52774e-18 -89.9976 7.87184e-15 -90 5.73916e-17 -89.9976 3.21378e-07 180 
1.74753 1.52501e-07 90 1 0 0.00343422 -179.997 1.00002 -5.94469e-08 1 0 0.00156717 1.58672e-05 0.891358 -2.85289e-08 0 0 0.0017504 -179.997 0.00152125 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00250658 0.00171184 -179.997 0 0 0 0 0 0 3.91486e-15 90 6.68134e-18 -89.9975 8.05707e-15 -90 5.87421e-17 -89.9975 3.21378e-07 180 
1.78865 1.56089e-07 90 1 0 0.00343422 -179.997 1.00002 -6.08458e-08 1 0 0.00156717 1.62406e-05 0.891358 -2.92002e-08 0 0 0.0017504 -179.997 0.00152125 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00256557 0.00171184 -179.997 0 0 0 0 0 0 4.00698e-15 90 6.83856e-18 -89.9974 8.24666e-15 -90 6.01243e-17 -89.9974 3.21378e-07 180 
1.83074 1.59762e-07 90 1 0 0.00343422 -179.997 1.00002 -6.22775e-08 1 0 0.00156717 1.66227e-05 0.891358 -2.98873e-08 0 0 0.0017504 -179.997 0.00152125 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00262594 0.00171184 -179.997 0 0 0 0 0 0 4.10127e-15 90 6.99948e-18 -89.9974 8.44071e-15 -90 6.15391e-17 -89.9974 3.21378e-07 180 
1.87382 1.63521e-07 90 1 0 0.00343422 -179.997 1.00002 -6.3743e-08 1 0 0.00156717 1.70139e-05 0.891358 -3.05906e-08 0 0 0.0017504 -179.997 0.00152125 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00268773 0.00171184 -179.997 0 0 0 0 0 0 4.19777e-15 90 7.16419e-18 -89.9973 8.63933e-15 -90 6.29872e-17 -89.9973 3.21378e-07 180 
1.91791 1.67369e-07 90 1 0 0.00343422 -179.997 1.00002 -6.52429e-08 1 0 0.00156717 1.74142e-05 0.891358 -3.13104e-08 0 0 0.0017504 -179.997 0.00152125 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00275097 0.00171184 -179.997 0 0 0 0 0 0 4.29655e-15 90 7.33277e-18 -89.9972 8.84262e-15 -90 6.44694e-17 -89.9972 3.21378e-07 180 
1.96304 1.71308e-07 90 1 0 0.00343422 -179.997 1.00002 -6.67781e-08 1 0 0.00156717 1.7824e-05 0.891358 -3.20472e-08 0 0 0.0017504 -179.997 0.00152125 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00281571 0.00171184 -179.997 0 0 0 0 0 0 4.39765e-15 90 7.50531e-18 -89.9972 9.0507e-15 -90 6.59864e-17 -89.9972 3.21378e-07 180 
2.00923 1.75339e-07 90 1 0 0.00343422 -179.997 1.00002 -6.83495e-08 1 0 0.00156717 1.82434e-05 0.891358 -3.28013e-08 0 0 0.0017504 -179.997 0.00152125 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00288196 0.00171184 -179.997 0 0 0 0 0 0 4.50114e-15 90 7.68192e-18 -89.9971 9.26367e-15 -90 6.75391e-17 -89.9971 3.21378e-07 180 
2.05651 1.79465e-07 90 1 0 0.00343422 -179.997 1.00002 -6.99578e-08 1 0 0.00156717 1.86727e-05 0.891358 -3.35732e-08 0 0 0.0017504 -179.997 0.00152125 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00294978 0.00171184 -179.997 0 0 0 0 0 0 4.60705e-15 90 7.86268e-18 -89.9971 9.48166e-15 -90 6.91284e-17 -89.9971 3.21378e-07 180 
2.1049 1.83688e-07 90 1 0 0.00343422 -179.997 1.00002 -7.1604e-08 1 0 0.00156717 1.91121e-05 0.891358 -3.43632e-08 0 0 0.0017504 -179.997 0.00152125 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00301919 0.00171184 -179.997 0 0 0 0 0 0 4.71546e-15 90 8.0477e-18 -89.997 9.70477e-15 -90 7.0755e-17 -89.997 3.21378e-07 180 
2.15443 1.8801e-07 90 1 0 0.00343422 -179.997 1.00002 -7.32889e-08 1 0 0.00156717 1.95618e-05 0.891358 -3.51718e-08 0 0 0.0017504 -179.997 0.00152125 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00309023 0.00171184 -179.997 0 0 0 0 0 0 4.82642e-15 90 8.23707e-18 -89.9969 9.93313e-15 -90 7.242e-17 -89.9969 3.21378e-07 180 
2.20513 1.92434e-07 90 1 0 0.00343422 -179.997 1.00002 -7.50135e-08 1 0 0.00156717 2.00221e-05 0.891358 -3.59994e-08 0 0 0.0017504 -179.997 0.00152125 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00316295 0.00171184 -179.997 0 0 0 0 0 0 4.93999e-15 90 8.4309e-18 -89.9968 1.01669e-14 -90 7.41241e-17 -89.9968 3.21378e-07 180 
2.25702 1.96962e-07 90 1 0 0.00343422 -179.997 1.00002 -7.67786e-08 1 0 0.00156717 2.04933e-05 0.891358 -3.68465e-08 0 0 0.0017504 -179.997 0.00152125 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00323738 0.00171184 -179.997 0 0 0 0 0 0 5.05623e-15 90 8.62929e-18 -89.9968 1.04061e-14 -90 7.58683e-17 -89.9968 3.21378e-07 180 
2.31013 2.01597e-07 90 1 0 0.00343422 -179.997 1.00002 -7.85853e-08 1 0 0.00156717 2.09755e-05 0.891358 -3.77135e-08 0 0 0.0017504 -179.997 0.00152125 -179.997 0 0 0.001555 -180 1 0 0.00155489 180 0.00173697 0.00331356 0.00171184 -179.997 0 0 0 0 0 0 5.17521e-15 90 8.83234e-18 -89.9967 1.0651e-14 -90 7.76536e-17 -89.9967 3.21378e-07 180 
