f 1m 1f 2m 2f 3m 3f jV0300m jV0300f 
100000 1249.98 -0.00104398 0.0153263 141.115 0 0 1 -0.000548997
108006 1249.98 -0.00112756 0.0158212 138.943 0 0 1 -0.000592949
116653 1249.98 -0.00121783 0.0163796 136.748 0 0 1 -0.00064042
125992 1249.98 -0.00131533 0.0170078 134.542 0 0 1 -0.000691692
136079 1249.98 -0.00142063 0.0177125 132.34 0 0 1 -0.000747069
146973 1249.98 -0.00153437 0.0185007 130.153 0 0 1 -0.000806879
158740 1249.98 -0.00165721 0.0193797 127.994 0 0 1 -0.000871478
171449 1249.98 -0.00178988 0.0203571 125.874 0 0 1 -0.000941248
185175 1249.98 -0.00193318 0.0214411 123.805 0 0 1 -0.0010166
200000 1249.98 -0.00208795 0.0226401 121.796 0 0 1 -0.00109799
216012 1249.98 -0.00225511 0.0239631 119.855 0 0 1 -0.0011859
233306 1249.98 -0.00243565 0.0254196 117.987 0 0 1 -0.00128084
251984 1249.98 -0.00263065 0.0270195 116.198 0 0 1 -0.00138338
272158 1249.98 -0.00284126 0.0287737 114.491 0 0 1 -0.00149414
293947 1249.98 -0.00306873 0.0306936 112.867 0 0 1 -0.00161376
317480 1249.98 -0.00331441 0.0327915 111.329 0 0 1 -0.00174296
342898 1249.98 -0.00357977 0.0350806 109.875 0 0 1 -0.0018825
370350 1249.98 -0.00386636 0.037575 108.505 0 0 1 -0.00203321
400000 1249.98 -0.0041759 0.0402902 107.216 0 0 1 -0.00219599
432024 1249.98 -0.00451022 0.0432426 106.007 0 0 1 -0.0023718
466612 1249.98 -0.00487131 0.0464501 104.874 0 0 1 -0.00256168
503968 1249.98 -0.0052613 0.0499321 103.814 0 0 1 -0.00276677
544316 1249.98 -0.00568252 0.0537095 102.823 0 0 1 -0.00298828
587894 1249.98 -0.00613746 0.0578048 101.899 0 0 1 -0.00322752
634960 1249.98 -0.00662883 0.0622425 101.038 0 0 1 -0.00348591
685795 1249.98 -0.00715953 0.0670491 100.236 0 0 1 -0.00376499
740700 1249.98 -0.00773272 0.0722532 99.4897 0 0 1 -0.00406642
800000 1249.98 -0.0083518 0.0778857 98.7955 0 0 1 -0.00439197
864048 1249.98 -0.00902044 0.0839802 98.1503 0 0 1 -0.00474359
933223 1249.98 -0.00974262 0.0905729 97.5509 0 0 1 -0.00512336
1.00794e+06 1249.98 -0.0105226 0.0977029 96.9942 0 0 1 -0.00553354
1.08863e+06 1249.98 -0.011365 0.105413 96.4773 0 0 1 -0.00597655
1.17579e+06 1249.98 -0.0122749 0.113748 95.9976 0 0 1 -0.00645503
1.26992e+06 1249.98 -0.0132577 0.122758 95.5524 0 0 1 -0.00697182
1.37159e+06 1249.98 -0.0143191 0.132496 95.1393 0 0 1 -0.00752998
1.4814e+06 1249.98 -0.0154654 0.143021 94.7561 0 0 1 -0.00813283
1.6e+06 1249.98 -0.0167036 0.154395 94.4005 0 0 1 -0.00878394
1.7281e+06 1249.98 -0.0180409 0.166684 94.0707 0 0 1 -0.00948718
1.86645e+06 1249.98 -0.0194852 0.179963 93.7647 0 0 1 -0.0102467
2.01587e+06 1249.98 -0.0210452 0.19431 93.4807 0 0 1 -0.0110671
2.17726e+06 1249.98 -0.0227301 0.20981 93.2172 0 0 1 -0.0119531
2.35158e+06 1249.98 -0.0245499 0.226555 92.9727 0 0 1 -0.0129101
2.53984e+06 1249.98 -0.0265153 0.244645 92.7456 0 0 1 -0.0139436
2.74318e+06 1249.98 -0.0286381 0.264186 92.5347 0 0 1 -0.01506
2.9628e+06 1249.98 -0.0309309 0.285295 92.3388 0 0 1 -0.0162657
3.2e+06 1249.98 -0.0334072 0.308097 92.1567 0 0 1 -0.0175679
3.45619e+06 1249.98 -0.0360818 0.332728 91.9874 0 0 1 -0.0189744
3.73289e+06 1249.98 -0.0389705 0.359333 91.8298 0 0 1 -0.0204934
4.03175e+06 1249.98 -0.0420904 0.38807 91.683 0 0 1 -0.0221341
4.35453e+06 1249.98 -0.0454602 0.419111 91.5462 0 0 1 -0.0239062
4.70315e+06 1249.98 -0.0490997 0.452639 91.4185 0 0 1 -0.0258201
5.07968e+06 1249.98 -0.0530306 0.488852 91.2992 0 0 0.999999 -0.0278873
5.48636e+06 1249.98 -0.0572762 0.527967 91.1877 0 0 0.999999 -0.0301199
5.9256e+06 1249.98 -0.0618617 0.570215 91.0831 0 0 0.999999 -0.0325313
6.4e+06 1249.98 -0.0668143 0.615847 90.985 0 0 0.999999 -0.0351357
6.91238e+06 1249.98 -0.0721635 0.665134 90.8928 0 0 0.999999 -0.0379487
7.46579e+06 1249.98 -0.0779408 0.718368 90.8058 0 0 0.999999 -0.0409868
8.06349e+06 1249.97 -0.0841808 0.775864 90.7236 0 0 0.999999 -0.0442682
8.70906e+06 1249.97 -0.0909202 0.837965 90.6457 0 0 0.999998 -0.0478122
9.4063e+06 1249.97 -0.0981992 0.905039 90.5716 0 0 0.999998 -0.05164
1.01594e+07 1249.97 -0.106061 0.977484 90.5009 0 0 0.999998 -0.0557743
1.09727e+07 1249.97 -0.114552 1.05573 90.4332 0 0 0.999997 -0.0602395
1.18512e+07 1249.97 -0.123723 1.14024 90.368 0 0 0.999997 -0.0650622
1.28e+07 1249.97 -0.133628 1.23152 90.3051 0 0 0.999996 -0.070271
1.38248e+07 1249.97 -0.144326 1.3301 90.2439 0 0 0.999996 -0.0758968
1.49316e+07 1249.97 -0.155881 1.43658 90.1842 0 0 0.999995 -0.0819729
1.6127e+07 1249.97 -0.168361 1.55158 90.1256 0 0 0.999994 -0.0885355
1.74181e+07 1249.97 -0.18184 1.67579 90.0677 0 0 0.999993 -0.0956234
1.88126e+07 1249.97 -0.196397 1.80994 90.0103 0 0 0.999992 -0.103279
2.03187e+07 1249.97 -0.212121 1.95484 89.9529 0 0 0.999991 -0.111547
2.19454e+07 1249.96 -0.229103 2.11133 89.8952 0 0 0.999989 -0.120477
2.37024e+07 1249.96 -0.247444 2.28035 89.8369 0 0 0.999987 -0.130122
2.56e+07 1249.96 -0.267254 2.4629 89.7776 0 0 0.999985 -0.140539
2.76495e+07 1249.96 -0.288649 2.66007 89.717 0 0 0.999983 -0.151789
2.98631e+07 1249.95 -0.311758 2.87301 89.6547 0 0 0.99998 -0.16394
3.2254e+07 1249.95 -0.336716 3.10301 89.5904 0 0 0.999977 -0.177064
3.48362e+07 1249.94 -0.363672 3.35141 89.5236 0 0 0.999973 -0.191238
3.76252e+07 1249.94 -0.392785 3.61969 89.454 0 0 0.999968 -0.206547
4.06375e+07 1249.93 -0.42423 3.90945 89.3812 0 0 0.999963 -0.22308
4.38909e+07 1249.92 -0.45819 4.2224 89.3047 0 0 0.999957 -0.240937
4.74048e+07 1249.91 -0.49487 4.56039 89.2241 0 0 0.99995 -0.260222
5.12e+07 1249.9 -0.534484 4.92542 89.1389 0 0 0.999941 -0.28105
5.52991e+07 1249.89 -0.577269 5.31967 89.0486 0 0 0.999931 -0.303544
5.97263e+07 1249.88 -0.623478 5.74545 88.9526 0 0 0.99992 -0.327838
6.4508e+07 1249.86 -0.673385 6.2053 88.8504 0 0 0.999907 -0.354074
6.96724e+07 1249.84 -0.727285 6.70193 88.7414 0 0 0.999891 -0.382408
7.52504e+07 1249.82 -0.785497 7.23828 88.6249 0 0 0.999873 -0.413007
8.12749e+07 1249.79 -0.848366 7.81751 88.5003 0 0 0.999852 -0.446052
8.77818e+07 1249.76 -0.916264 8.44305 88.3668 0 0 0.999827 -0.481737
9.48096e+07 1249.72 -0.989591 9.11859 88.2236 0 0 0.999799 -0.520271
1.024e+08 1249.68 -1.06878 9.8481 88.0699 0 0 0.999765 -0.561883
1.10598e+08 1249.63 -1.1543 10.6359 87.9047 0 0 0.999726 -0.606815
1.19453e+08 1249.58 -1.24666 11.4866 87.7271 0 0 0.99968 -0.655331
1.29016e+08 1249.51 -1.3464 12.4051 87.5361 0 0 0.999627 -0.707714
1.39345e+08 1249.43 -1.4541 13.397 87.3305 0 0 0.999565 -0.764269
1.50501e+08 1249.34 -1.5704 14.4679 87.109 0 0 0.999493 -0.825325
1.6255e+08 1249.23 -1.69599 15.6241 86.8705 0 0 0.999408 -0.891236
1.75564e+08 1249.11 -1.83159 16.8724 86.6134 0 0 0.99931 -0.96238
1.89619e+08 1248.97 -1.978 18.2199 86.3364 0 0 0.999195 -1.03917
2.048e+08 1248.8 -2.13608 19.6745 86.0377 0 0 0.999062 -1.12203
2.21196e+08 1248.6 -2.30674 21.2444 85.7156 0 0 0.998906 -1.21145
2.38905e+08 1248.37 -2.49096 22.9387 85.3682 0 0 0.998724 -1.30791
2.58032e+08 1248.11 -2.68983 24.7669 84.9935 0 0 0.998513 -1.41196
2.7869e+08 1247.8 -2.90446 26.7394 84.5894 0 0 0.998266 -1.52418
3.01002e+08 1247.44 -3.1361 28.8671 84.1535 0 0 0.997979 -1.64516
3.251e+08 1247.02 -3.38605 31.1618 83.6833 0 0 0.997644 -1.77556
3.51127e+08 1246.53 -3.65572 33.6359 83.1761 0 0 0.997254 -1.91605
3.79238e+08 1245.95 -3.94662 36.3028 82.629 0 0 0.9968 -2.06737
4.096e+08 1245.29 -4.26034 39.1765 82.039 0 0 0.996272 -2.23027
4.42392e+08 1244.52 -4.59861 42.2719 81.4027 0 0 0.995658 -2.40554
4.7781e+08 1243.62 -4.96324 45.6046 80.7167 0 0 0.994944 -2.594
5.16064e+08 1242.57 -5.35615 49.1908 79.9771 0 0 0.994114 -2.79649
5.5738e+08 1241.36 -5.77938 53.0477 79.18 0 0 0.99315 -3.01386
6.02003e+08 1239.94 -6.23507 57.1926 78.3211 0 0 0.992031 -3.24698
6.50199e+08 1238.31 -6.72547 61.6434 77.3961 0 0 0.990733 -3.49667
7.02254e+08 1236.41 -7.25291 66.4182 76.4 0 0 0.98923 -3.76377
7.58477e+08 1234.21 -7.81979 71.535 75.3281 0 0 0.987491 -4.049
8.192e+08 1231.66 -8.42861 77.0112 74.1751 0 0 0.985481 -4.35304
8.84785e+08 1228.72 -9.08187 82.8635 72.9358 0 0 0.983161 -4.67639
9.55621e+08 1225.32 -9.7821 89.107 71.6045 0 0 0.980488 -5.0194
1.03213e+09 1221.41 -10.5318 95.7547 70.1757 0 0 0.977416 -5.38215
1.11476e+09 1216.92 -11.3333 102.817 68.6437 0 0 0.973892 -5.76442
1.20401e+09 1211.76 -12.189 110.299 67.0029 0 0 0.969861 -6.16556
1.3004e+09 1205.86 -13.1009 118.204 65.2476 0 0 0.965263 -6.58444
1.40451e+09 1199.12 -14.0708 126.525 63.3726 0 0 0.960038 -7.0193
1.51695e+09 1191.47 -15.1001 135.25 61.373 0 0 0.954122 -7.46764
1.6384e+09 1182.79 -16.1898 144.358 59.2441 0 0 0.947456 -7.92609
1.76957e+09 1173 -17.3401 153.816 56.9824 0 0 0.939981 -8.39029
1.91124e+09 1162 -18.5509 163.581 54.5847 0 0 0.931647 -8.85475
2.06425e+09 1149.71 -19.8212 173.596 52.0491 0 0 0.922418 -9.31275
2.22952e+09 1136.05 -21.1492 183.79 49.3749 0 0 0.912268 -9.75631
2.40801e+09 1120.96 -22.5322 194.078 46.5625 0 0 0.901198 -10.1761
2.6008e+09 1104.39 -23.9669 204.362 43.6142 0 0 0.889231 -10.5616
2.80902e+09 1086.32 -25.4492 214.529 40.5334 0 0 0.876422 -10.9013
3.03391e+09 1066.77 -26.9743 224.457 37.3254 0 0 0.86286 -11.1827
3.2768e+09 1045.75 -28.5372 234.014 33.9969 0 0 0.848671 -11.3932
3.53914e+09 1023.33 -30.1325 243.063 30.5562 0 0 0.83402 -11.5203
3.82248e+09 999.604 -31.7551 251.466 27.0129 0 0 0.819104 -11.5524
4.12851e+09 974.672 -33.4 259.087 23.3777 0 0 0.804154 -11.4796
4.45904e+09 948.663 -35.0629 265.799 19.6624 0 0 0.78942 -11.2948
4.81603e+09 921.712 -36.7404 271.486 15.8793 0 0 0.775166 -10.9941
5.2016e+09 893.958 -38.4297 276.045 12.0413 0 0 0.761656 -10.578
5.61803e+09 865.538 -40.1291 279.396 8.16177 0 0 0.749138 -10.0514
6.06781e+09 836.579 -41.8375 281.477 4.25399 0 0 0.737834 -9.42447
6.5536e+09 807.199 -43.554 282.25 0.331517 0 0 0.727924 -8.71164
7.07828e+09 777.502 -45.2783 281.7 -3.59209 0 0 0.719539 -7.93153
7.64496e+09 747.582 -47.0097 279.837 -7.50327 0 0 0.712751 -7.10561
8.25702e+09 717.521 -48.7468 276.696 -11.3885 0 0 0.707571 -6.25684
8.91807e+09 687.401 -50.4876 272.335 -15.2344 0 0 0.703954 -5.40811
9.63205e+09 657.3 -52.2292 266.831 -19.0275 0 0 0.701802 -4.58078
