f 1m 1f 2m 2f 3m 3f 4m 4f jE0200m jE0200f jV0300m jV0300f jV0402m jV0402f 
0.1 1 45 1.41421 -4.49798e-15 1 135 2 45 0 0 0 0 0 0
0.129155 1 45 1.41421 -4.49798e-15 1 135 2 45 0 0 0 0 0 0
0.16681 1 45 1.41421 -4.49798e-15 1 135 2 45 0 0 0 0 0 0
0.215443 1 45 1.41421 -4.49798e-15 1 135 2 45 0 0 0 0 0 0
0.278256 1 45 1.41421 -4.49798e-15 1 135 2 45 0 0 0 0 0 0
0.359381 1 45 1.41421 -4.49798e-15 1 135 2 45 0 0 0 0 0 0
0.464159 1 45 1.41421 -4.49798e-15 1 135 2 45 0 0 0 0 0 0
0.599484 1 45 1.41421 -4.49798e-15 1 135 2 45 0 0 0 0 0 0
0.774264 1 45 1.41421 -4.49798e-15 1 135 2 45 0 0 0 0 0 0
1 1 45 1.41421 -4.49798e-15 1 135 2 45 0 0 0 0 0 0
