f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
1 8.72665e-08 90 1 0 0.00343369 -179.999 1.00002 -3.4081e-08 1 0 0.00156717 9.1003e-06 0.891358 -1.63571e-08 0 0 0.00175046 -179.999 0.00152111 -179.999 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00143822 0.00171184 -179.999 0 0 0 0 0 0 2.24023e-15 90 3.82297e-18 -89.9986 2.17856e-14 -90 4.30232e-18 -89.9986 3.2137e-07 180 
1.02353 8.93199e-08 90 1 0 0.00343369 -179.999 1.00002 -3.4883e-08 1 0 0.00156717 9.31444e-06 0.891358 -1.6742e-08 0 0 0.00175046 -179.999 0.00152111 -179.999 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00147207 0.00171184 -179.999 0 0 0 0 0 0 2.29294e-15 90 3.91293e-18 -89.9985 2.22983e-14 -90 4.40356e-18 -89.9985 3.2137e-07 180 
1.04762 9.14217e-08 90 1 0 0.00343369 -179.998 1.00002 -3.57038e-08 1 0 0.00156717 9.53362e-06 0.891358 -1.7136e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00150671 0.00171184 -179.998 0 0 0 0 0 0 2.3469e-15 90 4.005e-18 -89.9985 2.2823e-14 -90 4.50718e-18 -89.9985 3.2137e-07 180 
1.07227 9.3573e-08 90 1 0 0.00343369 -179.998 1.00002 -3.6544e-08 1 0 0.00156717 9.75796e-06 0.891358 -1.75392e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00154216 0.00171184 -179.998 0 0 0 0 0 0 2.40212e-15 90 4.09924e-18 -89.9985 2.336e-14 -90 4.61324e-18 -89.9985 3.2137e-07 180 
1.0975 9.57748e-08 90 1 0 0.00343369 -179.998 1.00002 -3.74039e-08 1 0 0.00156717 9.98757e-06 0.891358 -1.79519e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00157845 0.00171184 -179.998 0 0 0 0 0 0 2.45865e-15 90 4.1957e-18 -89.9984 2.39097e-14 -90 4.7218e-18 -89.9984 3.2137e-07 180 
1.12332 9.80285e-08 90 1 0 0.00343369 -179.998 1.00002 -3.8284e-08 1 0 0.00156717 1.02226e-05 0.891358 -1.83744e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00161559 0.00171184 -179.998 0 0 0 0 0 0 2.5165e-15 90 4.29443e-18 -89.9984 2.44723e-14 -90 4.8329e-18 -89.9984 3.2137e-07 180 
1.14976 1.00335e-07 90 1 0 0.00343369 -179.998 1.00002 -3.91849e-08 1 0 0.00156717 1.04631e-05 0.891358 -1.88067e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00165361 0.00171184 -179.998 0 0 0 0 0 0 2.57572e-15 90 4.39548e-18 -89.9983 2.50482e-14 -90 4.94663e-18 -89.9983 3.2137e-07 180 
1.17681 1.02696e-07 90 1 0 0.00343369 -179.998 1.00002 -4.01069e-08 1 0 0.00156717 1.07093e-05 0.891358 -1.92493e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00169252 0.00171184 -179.998 0 0 0 0 0 0 2.63632e-15 90 4.49891e-18 -89.9983 2.56376e-14 -90 5.06303e-18 -89.9983 3.2137e-07 180 
1.2045 1.05113e-07 90 1 0 0.00343369 -179.998 1.00002 -4.10507e-08 1 0 0.00156717 1.09613e-05 0.891358 -1.97022e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00173235 0.00171184 -179.998 0 0 0 0 0 0 2.69836e-15 90 4.60478e-18 -89.9983 2.62409e-14 -90 5.18216e-18 -89.9983 3.2137e-07 180 
1.23285 1.07586e-07 90 1 0 0.00343369 -179.998 1.00002 -4.20167e-08 1 0 0.00156717 1.12193e-05 0.891358 -2.01658e-08 0 0 0.00175046 -179.998 0.00152111 -179.998 0 0 0.001555 -180 1 0 0.00155489 180 0.00173704 0.00177311 0.00171184 -179.998 0 0 0 0 0 0 2.76186e-15 90 4.71313e-18 -89.9982 2.68583e-14 -90 5.30411e-18 -89.9982 3.2137e-07 180 
