f 1m 1f 2m 2f 3m 3f 4m 4f jV0300m jV0300f 
1 0 0 0 0 0 0 0 0 0 0
1.00231 0 0 0 0 0 0 0 0 0 0
1.00462 0 0 0 0 0 0 0 0 0 0
1.00694 0 0 0 0 0 0 0 0 0 0
1.00926 0 0 0 0 0 0 0 0 0 0
1.01159 0 0 0 0 0 0 0 0 0 0
1.01393 0 0 0 0 0 0 0 0 0 0
1.01627 0 0 0 0 0 0 0 0 0 0
1.01861 0 0 0 0 0 0 0 0 0 0
1.02096 0 0 0 0 0 0 0 0 0 0
1.02332 0 0 0 0 0 0 0 0 0 0
1.02568 0 0 0 0 0 0 0 0 0 0
1.02804 0 0 0 0 0 0 0 0 0 0
1.03042 0 0 0 0 0 0 0 0 0 0
1.03279 0 0 0 0 0 0 0 0 0 0
1.03518 0 0 0 0 0 0 0 0 0 0
1.03757 0 0 0 0 0 0 0 0 0 0
1.03996 0 0 0 0 0 0 0 0 0 0
1.04236 0 0 0 0 0 0 0 0 0 0
1.04477 0 0 0 0 0 0 0 0 0 0
1.04718 0 0 0 0 0 0 0 0 0 0
1.04959 0 0 0 0 0 0 0 0 0 0
1.05202 0 0 0 0 0 0 0 0 0 0
1.05444 0 0 0 0 0 0 0 0 0 0
1.05688 0 0 0 0 0 0 0 0 0 0
1.05931 0 0 0 0 0 0 0 0 0 0
1.06176 0 0 0 0 0 0 0 0 0 0
1.06421 0 0 0 0 0 0 0 0 0 0
1.06666 0 0 0 0 0 0 0 0 0 0
1.06913 0 0 0 0 0 0 0 0 0 0
1.07159 0 0 0 0 0 0 0 0 0 0
1.07407 0 0 0 0 0 0 0 0 0 0
1.07654 0 0 0 0 0 0 0 0 0 0
1.07903 0 0 0 0 0 0 0 0 0 0
1.08152 0 0 0 0 0 0 0 0 0 0
1.08401 0 0 0 0 0 0 0 0 0 0
1.08652 0 0 0 0 0 0 0 0 0 0
1.08902 0 0 0 0 0 0 0 0 0 0
1.09154 0 0 0 0 0 0 0 0 0 0
1.09405 0 0 0 0 0 0 0 0 0 0
1.09658 0 0 0 0 0 0 0 0 0 0
1.09911 0 0 0 0 0 0 0 0 0 0
1.10165 0 0 0 0 0 0 0 0 0 0
1.10419 0 0 0 0 0 0 0 0 0 0
1.10674 0 0 0 0 0 0 0 0 0 0
1.10929 0 0 0 0 0 0 0 0 0 0
1.11185 0 0 0 0 0 0 0 0 0 0
1.11442 0 0 0 0 0 0 0 0 0 0
1.11699 0 0 0 0 0 0 0 0 0 0
1.11956 0 0 0 0 0 0 0 0 0 0
1.12215 0 0 0 0 0 0 0 0 0 0
1.12474 0 0 0 0 0 0 0 0 0 0
1.12733 0 0 0 0 0 0 0 0 0 0
1.12993 0 0 0 0 0 0 0 0 0 0
1.13254 0 0 0 0 0 0 0 0 0 0
1.13515 0 0 0 0 0 0 0 0 0 0
1.13777 0 0 0 0 0 0 0 0 0 0
1.1404 0 0 0 0 0 0 0 0 0 0
1.14303 0 0 0 0 0 0 0 0 0 0
1.14567 0 0 0 0 0 0 0 0 0 0
1.14831 0 0 0 0 0 0 0 0 0 0
1.15096 0 0 0 0 0 0 0 0 0 0
1.15362 0 0 0 0 0 0 0 0 0 0
1.15628 0 0 0 0 0 0 0 0 0 0
1.15895 0 0 0 0 0 0 0 0 0 0
1.16162 0 0 0 0 0 0 0 0 0 0
1.1643 0 0 0 0 0 0 0 0 0 0
1.16699 0 0 0 0 0 0 0 0 0 0
1.16968 0 0 0 0 0 0 0 0 0 0
1.17238 0 0 0 0 0 0 0 0 0 0
1.17509 0 0 0 0 0 0 0 0 0 0
1.1778 0 0 0 0 0 0 0 0 0 0
1.18052 0 0 0 0 0 0 0 0 0 0
1.18324 0 0 0 0 0 0 0 0 0 0
1.18597 0 0 0 0 0 0 0 0 0 0
1.18871 0 0 0 0 0 0 0 0 0 0
1.19145 0 0 0 0 0 0 0 0 0 0
1.1942 0 0 0 0 0 0 0 0 0 0
1.19696 0 0 0 0 0 0 0 0 0 0
1.19972 0 0 0 0 0 0 0 0 0 0
1.20249 0 0 0 0 0 0 0 0 0 0
1.20526 0 0 0 0 0 0 0 0 0 0
1.20804 0 0 0 0 0 0 0 0 0 0
1.21083 0 0 0 0 0 0 0 0 0 0
1.21362 0 0 0 0 0 0 0 0 0 0
1.21642 0 0 0 0 0 0 0 0 0 0
1.21923 0 0 0 0 0 0 0 0 0 0
1.22204 0 0 0 0 0 0 0 0 0 0
1.22486 0 0 0 0 0 0 0 0 0 0
1.22769 0 0 0 0 0 0 0 0 0 0
1.23052 0 0 0 0 0 0 0 0 0 0
1.23336 0 0 0 0 0 0 0 0 0 0
1.23621 0 0 0 0 0 0 0 0 0 0
1.23906 0 0 0 0 0 0 0 0 0 0
1.24192 0 0 0 0 0 0 0 0 0 0
1.24479 0 0 0 0 0 0 0 0 0 0
1.24766 0 0 0 0 0 0 0 0 0 0
1.25054 0 0 0 0 0 0 0 0 0 0
1.25342 0 0 0 0 0 0 0 0 0 0
1.25632 0 0 0 0 0 0 0 0 0 0
1.25922 0 0 0 0 0 0 0 0 0 0
1.26212 0 0 0 0 0 0 0 0 0 0
1.26503 0 0 0 0 0 0 0 0 0 0
1.26795 0 0 0 0 0 0 0 0 0 0
1.27088 0 0 0 0 0 0 0 0 0 0
1.27381 0 0 0 0 0 0 0 0 0 0
1.27675 0 0 0 0 0 0 0 0 0 0
1.2797 0 0 0 0 0 0 0 0 0 0
1.28265 0 0 0 0 0 0 0 0 0 0
1.28561 0 0 0 0 0 0 0 0 0 0
1.28858 0 0 0 0 0 0 0 0 0 0
1.29155 0 0 0 0 0 0 0 0 0 0
1.29453 0 0 0 0 0 0 0 0 0 0
1.29752 0 0 0 0 0 0 0 0 0 0
1.30051 0 0 0 0 0 0 0 0 0 0
1.30351 0 0 0 0 0 0 0 0 0 0
1.30652 0 0 0 0 0 0 0 0 0 0
1.30954 0 0 0 0 0 0 0 0 0 0
1.31256 0 0 0 0 0 0 0 0 0 0
1.31559 0 0 0 0 0 0 0 0 0 0
1.31862 0 0 0 0 0 0 0 0 0 0
1.32166 0 0 0 0 0 0 0 0 0 0
1.32471 0 0 0 0 0 0 0 0 0 0
1.32777 0 0 0 0 0 0 0 0 0 0
1.33083 0 0 0 0 0 0 0 0 0 0
1.33391 0 0 0 0 0 0 0 0 0 0
1.33698 0 0 0 0 0 0 0 0 0 0
1.34007 0 0 0 0 0 0 0 0 0 0
1.34316 0 0 0 0 0 0 0 0 0 0
1.34626 0 0 0 0 0 0 0 0 0 0
1.34937 0 0 0 0 0 0 0 0 0 0
1.35248 0 0 0 0 0 0 0 0 0 0
1.3556 0 0 0 0 0 0 0 0 0 0
1.35873 0 0 0 0 0 0 0 0 0 0
1.36187 0 0 0 0 0 0 0 0 0 0
1.36501 0 0 0 0 0 0 0 0 0 0
1.36816 0 0 0 0 0 0 0 0 0 0
1.37131 0 0 0 0 0 0 0 0 0 0
1.37448 0 0 0 0 0 0 0 0 0 0
1.37765 0 0 0 0 0 0 0 0 0 0
1.38083 0 0 0 0 0 0 0 0 0 0
1.38402 0 0 0 0 0 0 0 0 0 0
1.38721 0 0 0 0 0 0 0 0 0 0
1.39041 0 0 0 0 0 0 0 0 0 0
1.39362 0 0 0 0 0 0 0 0 0 0
1.39684 0 0 0 0 0 0 0 0 0 0
1.40006 0 0 0 0 0 0 0 0 0 0
1.40329 0 0 0 0 0 0 0 0 0 0
1.40653 0 0 0 0 0 0 0 0 0 0
1.40977 0 0 0 0 0 0 0 0 0 0
1.41303 0 0 0 0 0 0 0 0 0 0
1.41629 0 0 0 0 0 0 0 0 0 0
1.41955 0 0 0 0 0 0 0 0 0 0
1.42283 0 0 0 0 0 0 0 0 0 0
1.42611 0 0 0 0 0 0 0 0 0 0
1.4294 0 0 0 0 0 0 0 0 0 0
1.4327 0 0 0 0 0 0 0 0 0 0
1.43601 0 0 0 0 0 0 0 0 0 0
1.43932 0 0 0 0 0 0 0 0 0 0
1.44264 0 0 0 0 0 0 0 0 0 0
1.44597 0 0 0 0 0 0 0 0 0 0
1.44931 0 0 0 0 0 0 0 0 0 0
1.45265 0 0 0 0 0 0 0 0 0 0
1.45601 0 0 0 0 0 0 0 0 0 0
1.45937 0 0 0 0 0 0 0 0 0 0
1.46273 0 0 0 0 0 0 0 0 0 0
1.46611 0 0 0 0 0 0 0 0 0 0
1.46949 0 0 0 0 0 0 0 0 0 0
1.47288 0 0 0 0 0 0 0 0 0 0
1.47628 0 0 0 0 0 0 0 0 0 0
1.47969 0 0 0 0 0 0 0 0 0 0
1.4831 0 0 0 0 0 0 0 0 0 0
1.48652 0 0 0 0 0 0 0 0 0 0
1.48996 0 0 0 0 0 0 0 0 0 0
1.49339 0 0 0 0 0 0 0 0 0 0
1.49684 0 0 0 0 0 0 0 0 0 0
1.50029 0 0 0 0 0 0 0 0 0 0
1.50376 0 0 0 0 0 0 0 0 0 0
1.50723 0 0 0 0 0 0 0 0 0 0
1.5107 0 0 0 0 0 0 0 0 0 0
1.51419 0 0 0 0 0 0 0 0 0 0
1.51768 0 0 0 0 0 0 0 0 0 0
1.52119 0 0 0 0 0 0 0 0 0 0
1.5247 0 0 0 0 0 0 0 0 0 0
1.52821 0 0 0 0 0 0 0 0 0 0
1.53174 0 0 0 0 0 0 0 0 0 0
1.53528 0 0 0 0 0 0 0 0 0 0
1.53882 0 0 0 0 0 0 0 0 0 0
1.54237 0 0 0 0 0 0 0 0 0 0
1.54593 0 0 0 0 0 0 0 0 0 0
1.5495 0 0 0 0 0 0 0 0 0 0
1.55307 0 0 0 0 0 0 0 0 0 0
1.55665 0 0 0 0 0 0 0 0 0 0
1.56025 0 0 0 0 0 0 0 0 0 0
1.56385 0 0 0 0 0 0 0 0 0 0
1.56746 0 0 0 0 0 0 0 0 0 0
1.57107 0 0 0 0 0 0 0 0 0 0
1.5747 0 0 0 0 0 0 0 0 0 0
1.57833 0 0 0 0 0 0 0 0 0 0
1.58197 0 0 0 0 0 0 0 0 0 0
1.58562 0 0 0 0 0 0 0 0 0 0
1.58928 0 0 0 0 0 0 0 0 0 0
1.59295 0 0 0 0 0 0 0 0 0 0
1.59663 0 0 0 0 0 0 0 0 0 0
1.60031 0 0 0 0 0 0 0 0 0 0
1.604 0 0 0 0 0 0 0 0 0 0
1.6077 0 0 0 0 0 0 0 0 0 0
1.61141 0 0 0 0 0 0 0 0 0 0
1.61513 0 0 0 0 0 0 0 0 0 0
1.61886 0 0 0 0 0 0 0 0 0 0
1.6226 0 0 0 0 0 0 0 0 0 0
1.62634 0 0 0 0 0 0 0 0 0 0
1.63009 0 0 0 0 0 0 0 0 0 0
1.63385 0 0 0 0 0 0 0 0 0 0
1.63762 0 0 0 0 0 0 0 0 0 0
1.6414 0 0 0 0 0 0 0 0 0 0
1.64519 0 0 0 0 0 0 0 0 0 0
1.64899 0 0 0 0 0 0 0 0 0 0
1.65279 0 0 0 0 0 0 0 0 0 0
1.65661 0 0 0 0 0 0 0 0 0 0
1.66043 0 0 0 0 0 0 0 0 0 0
1.66426 0 0 0 0 0 0 0 0 0 0
1.6681 0 0 0 0 0 0 0 0 0 0
1.67195 0 0 0 0 0 0 0 0 0 0
1.67581 0 0 0 0 0 0 0 0 0 0
1.67967 0 0 0 0 0 0 0 0 0 0
1.68355 0 0 0 0 0 0 0 0 0 0
1.68744 0 0 0 0 0 0 0 0 0 0
1.69133 0 0 0 0 0 0 0 0 0 0
1.69523 0 0 0 0 0 0 0 0 0 0
1.69914 0 0 0 0 0 0 0 0 0 0
1.70307 0 0 0 0 0 0 0 0 0 0
1.70699 0 0 0 0 0 0 0 0 0 0
1.71093 0 0 0 0 0 0 0 0 0 0
1.71488 0 0 0 0 0 0 0 0 0 0
1.71884 0 0 0 0 0 0 0 0 0 0
1.72281 0 0 0 0 0 0 0 0 0 0
1.72678 0 0 0 0 0 0 0 0 0 0
1.73077 0 0 0 0 0 0 0 0 0 0
1.73476 0 0 0 0 0 0 0 0 0 0
1.73876 0 0 0 0 0 0 0 0 0 0
1.74277 0 0 0 0 0 0 0 0 0 0
1.7468 0 0 0 0 0 0 0 0 0 0
1.75083 0 0 0 0 0 0 0 0 0 0
1.75487 0 0 0 0 0 0 0 0 0 0
1.75892 0 0 0 0 0 0 0 0 0 0
1.76298 0 0 0 0 0 0 0 0 0 0
1.76704 0 0 0 0 0 0 0 0 0 0
1.77112 0 0 0 0 0 0 0 0 0 0
1.77521 0 0 0 0 0 0 0 0 0 0
1.7793 0 0 0 0 0 0 0 0 0 0
1.78341 0 0 0 0 0 0 0 0 0 0
1.78753 0 0 0 0 0 0 0 0 0 0
1.79165 0 0 0 0 0 0 0 0 0 0
1.79578 0 0 0 0 0 0 0 0 0 0
1.79993 0 0 0 0 0 0 0 0 0 0
1.80408 0 0 0 0 0 0 0 0 0 0
1.80824 0 0 0 0 0 0 0 0 0 0
1.81242 0 0 0 0 0 0 0 0 0 0
1.8166 0 0 0 0 0 0 0 0 0 0
1.82079 0 0 0 0 0 0 0 0 0 0
1.82499 0 0 0 0 0 0 0 0 0 0
1.8292 0 0 0 0 0 0 0 0 0 0
1.83343 0 0 0 0 0 0 0 0 0 0
1.83766 0 0 0 0 0 0 0 0 0 0
1.8419 0 0 0 0 0 0 0 0 0 0
1.84615 0 0 0 0 0 0 0 0 0 0
1.85041 0 0 0 0 0 0 0 0 0 0
1.85468 0 0 0 0 0 0 0 0 0 0
1.85896 0 0 0 0 0 0 0 0 0 0
1.86325 0 0 0 0 0 0 0 0 0 0
1.86755 0 0 0 0 0 0 0 0 0 0
1.87186 0 0 0 0 0 0 0 0 0 0
1.87617 0 0 0 0 0 0 0 0 0 0
1.8805 0 0 0 0 0 0 0 0 0 0
1.88484 0 0 0 0 0 0 0 0 0 0
1.88919 0 0 0 0 0 0 0 0 0 0
1.89355 0 0 0 0 0 0 0 0 0 0
1.89792 0 0 0 0 0 0 0 0 0 0
1.9023 0 0 0 0 0 0 0 0 0 0
1.90669 0 0 0 0 0 0 0 0 0 0
1.91109 0 0 0 0 0 0 0 0 0 0
1.9155 0 0 0 0 0 0 0 0 0 0
1.91992 0 0 0 0 0 0 0 0 0 0
1.92435 0 0 0 0 0 0 0 0 0 0
1.92879 0 0 0 0 0 0 0 0 0 0
1.93324 0 0 0 0 0 0 0 0 0 0
1.9377 0 0 0 0 0 0 0 0 0 0
1.94217 0 0 0 0 0 0 0 0 0 0
1.94666 0 0 0 0 0 0 0 0 0 0
1.95115 0 0 0 0 0 0 0 0 0 0
1.95565 0 0 0 0 0 0 0 0 0 0
1.96016 0 0 0 0 0 0 0 0 0 0
1.96469 0 0 0 0 0 0 0 0 0 0
1.96922 0 0 0 0 0 0 0 0 0 0
1.97376 0 0 0 0 0 0 0 0 0 0
1.97832 0 0 0 0 0 0 0 0 0 0
1.98288 0 0 0 0 0 0 0 0 0 0
1.98746 0 0 0 0 0 0 0 0 0 0
1.99205 0 0 0 0 0 0 0 0 0 0
1.99664 0 0 0 0 0 0 0 0 0 0
2.00125 0 0 0 0 0 0 0 0 0 0
2.00587 0 0 0 0 0 0 0 0 0 0
2.0105 0 0 0 0 0 0 0 0 0 0
2.01514 0 0 0 0 0 0 0 0 0 0
2.01979 0 0 0 0 0 0 0 0 0 0
2.02445 0 0 0 0 0 0 0 0 0 0
2.02912 0 0 0 0 0 0 0 0 0 0
2.0338 0 0 0 0 0 0 0 0 0 0
2.03849 0 0 0 0 0 0 0 0 0 0
2.0432 0 0 0 0 0 0 0 0 0 0
2.04791 0 0 0 0 0 0 0 0 0 0
2.05264 0 0 0 0 0 0 0 0 0 0
2.05737 0 0 0 0 0 0 0 0 0 0
2.06212 0 0 0 0 0 0 0 0 0 0
2.06688 0 0 0 0 0 0 0 0 0 0
2.07165 0 0 0 0 0 0 0 0 0 0
