f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f jL1m jL1f jL2m jL2f jL11m jL11f jL21m jL21f jVINm jVINf jVINm jVINf 
0.001 0.00565446 89.28 0.00621987 179.28 0.00628274 89.3484 1 -6.06562e-18 0.00628269 179.287 1 90 0.999948 -0.359972 0.00565446 -90.72 0.999942 89.64 0.00621987 -0.719963 0.999948 179.64 0.999942 -90.36
0.00102353 0.0057875 89.2631 0.0063662 179.263 0.00643056 89.3331 1 3.6062e-17 0.00643051 179.27 1 90 0.999946 -0.368441 0.0057875 -90.7369 0.999939 89.6316 0.0063662 -0.736902 0.999946 179.632 0.999939 -90.3684
0.00104762 0.00592366 89.2458 0.00651598 179.246 0.00658185 89.3174 1 1.51927e-17 0.0065818 179.253 1 90 0.999943 -0.37711 0.00592366 -90.7542 0.999936 89.6229 0.00651598 -0.75424 0.999943 179.623 0.999936 -90.3771
0.00107227 0.00606303 89.228 0.00666928 179.228 0.00673671 89.3014 1 2.7128e-17 0.00673665 179.236 1 90 0.999941 -0.385982 0.00606303 -90.772 0.999933 89.614 0.00666928 -0.771986 0.999941 179.614 0.999933 -90.386
0.0010975 0.00620568 89.2098 0.00682619 179.21 0.0068952 89.2849 1 -1.30352e-17 0.00689514 179.218 1 90 0.999938 -0.395063 0.00620568 -90.7902 0.99993 89.6049 0.00682619 -0.79015 0.999938 179.605 0.99993 -90.3951
0.00112332 0.00635168 89.1913 0.00698678 179.191 0.00705742 89.2681 1 4.28243e-17 0.00705736 179.199 1 90 0.999935 -0.404357 0.00635168 -90.8087 0.999926 89.5956 0.00698678 -0.80874 0.999935 179.596 0.999926 -90.4044
0.00114976 0.00650111 89.1722 0.00715116 179.172 0.00722346 89.2509 1 6.86715e-18 0.00722339 179.18 1 90 0.999932 -0.41387 0.00650111 -90.8278 0.999923 89.5861 0.00715116 -0.827768 0.999932 179.586 0.999923 -90.4139
0.00117681 0.00665406 89.1527 0.00731939 179.153 0.0073934 89.2332 1 2.10195e-17 0.00739333 179.161 1 90 0.999928 -0.423607 0.00665406 -90.8473 0.999919 89.5764 0.00731939 -0.847244 0.999928 179.576 0.999919 -90.4236
0.0012045 0.0068106 89.1328 0.00749159 179.133 0.00756734 89.2152 1 3.63749e-17 0.00756726 179.141 1 90 0.999925 -0.433573 0.0068106 -90.8672 0.999915 89.5664 0.00749159 -0.867177 0.999925 179.566 0.999915 -90.4336
0.00123285 0.00697083 89.1124 0.00766783 179.112 0.00774537 89.1967 1 -2.01841e-17 0.00774528 179.121 1 90 0.999921 -0.443773 0.00697083 -90.8876 0.999911 89.5562 0.00766783 -0.88758 0.999921 179.556 0.999911 -90.4438
0.00126186 0.00713482 89.0915 0.00784822 179.092 0.00792759 89.1778 1 -3.14943e-17 0.00792749 179.101 1 90 0.999918 -0.454213 0.00713482 -90.9085 0.999907 89.5458 0.00784822 -0.908462 0.999918 179.546 0.999907 -90.4542
