f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f 
1 30.2793 7.62024 2.05655 93.6558 2 90 0.887181 68.2315 0.401525 -90.1694 3.42946 -166.099
11.009 30.046 0.690276 2.00055 90.03 2 90 0.0816315 62.5027 0.0364619 -96.9059 3.03855 -178.634
21.018 30.0246 0.361553 2.00015 90.0082 2 90 0.0428279 62.2289 0.0190983 -97.2335 3.02019 -179.281
31.027 30.0168 0.244919 2.00007 90.0038 2 90 0.0290296 62.1317 0.0129374 -97.3499 3.01368 -179.512
41.036 30.0128 0.185181 2.00004 90.0022 2 90 0.0219559 62.0819 0.00978186 -97.4096 3.01034 -179.631
51.045 30.0103 0.14887 2.00003 90.0014 2 90 0.0176542 62.0516 0.00786381 -97.4458 3.00831 -179.703
61.0541 30.0086 0.124465 2.00002 90.001 2 90 0.0147619 62.0313 0.00657464 -97.4702 3.00695 -179.752
71.0631 30.0074 0.106934 2.00001 90.0007 2 90 0.0126839 62.0167 0.00564862 -97.4877 3.00597 -179.787
81.0721 30.0065 0.0937325 2.00001 90.0006 2 90 0.0111188 62.0057 0.00495126 -97.5009 3.00524 -179.813
91.0811 30.0058 0.0834322 2.00001 90.0004 2 90 0.00989746 61.9971 0.00440716 -97.5112 3.00466 -179.833
101.09 30.0052 0.0751715 2.00001 90.0004 2 90 0.0089179 61.9902 0.0039708 -97.5195 3.0042 -179.85
111.099 30.0048 0.0683992 2.00001 90.0003 2 90 0.00811478 61.9845 0.00361307 -97.5263 3.00382 -179.863
121.108 30.0044 0.0627463 2 90.0002 2 90 0.00744436 61.9798 0.00331446 -97.5319 3.0035 -179.875
131.117 30.004 0.0579565 2 90.0002 2 90 0.00687626 61.9758 0.00306145 -97.5367 3.00324 -179.884
141.126 30.0037 0.0538461 2 90.0002 2 90 0.00638872 61.9724 0.00284432 -97.5408 3.00301 -179.892
151.135 30.0035 0.0502801 2 90.0002 2 90 0.00596574 61.9694 0.00265596 -97.5444 3.00281 -179.9
161.144 30.0033 0.0471571 2 90.0001 2 90 0.00559529 61.9668 0.00249099 -97.5475 3.00263 -179.906
171.153 30.0031 0.0443994 2 90.0001 2 90 0.00526815 61.9645 0.00234532 -97.5503 3.00248 -179.911
181.162 30.0029 0.0419463 2 90.0001 2 90 0.00497716 61.9625 0.00221574 -97.5527 3.00234 -179.916
191.171 30.0028 0.0397502 2 90.0001 2 90 0.00471663 61.9607 0.00209973 -97.5549 3.00222 -179.921
201.18 30.0026 0.0377726 2 90.0001 2 90 0.00448202 61.959 0.00199527 -97.5569 3.00211 -179.925
211.189 30.0025 0.0359824 2 90.0001 2 90 0.00426964 61.9575 0.00190071 -97.5587 3.00201 -179.928
221.198 30.0024 0.0343542 2 90.0001 2 90 0.00407648 61.9562 0.0018147 -97.5603 3.00192 -179.931
231.207 30.0023 0.032867 2 90.0001 2 90 0.00390004 61.9549 0.00173614 -97.5618 3.00184 -179.934
241.216 30.0022 0.0315032 2 90.0001 2 90 0.00373824 61.9538 0.0016641 -97.5631 3.00176 -179.937
251.225 30.0021 0.0302481 2 90.0001 2 90 0.00358933 61.9527 0.0015978 -97.5644 3.00169 -179.94
261.234 30.002 0.0290892 2 90.0001 2 90 0.00345183 61.9518 0.00153658 -97.5656 3.00162 -179.942
271.243 30.002 0.0280158 2 90 2 90 0.00332447 61.9509 0.00147988 -97.5666 3.00156 -179.944
281.252 30.0019 0.0270188 2 90 2 90 0.00320618 61.95 0.00142722 -97.5676 3.00151 -179.946
291.261 30.0018 0.0260903 2 90 2 90 0.00309602 61.9493 0.00137817 -97.5686 3.00146 -179.948
301.27 30.0018 0.0252235 2 90 2 90 0.00299317 61.9485 0.00133239 -97.5694 3.00141 -179.95
311.279 30.0017 0.0244124 2 90 2 90 0.00289694 61.9479 0.00128954 -97.5702 3.00136 -179.951
321.288 30.0016 0.0236519 2 90 2 90 0.00280671 61.9472 0.00124937 -97.571 3.00132 -179.953
331.297 30.0016 0.0229374 2 90 2 90 0.00272192 61.9466 0.00121163 -97.5717 3.00128 -179.954
341.306 30.0016 0.0222647 2 90 2 90 0.00264211 61.9461 0.00117609 -97.5724 3.00124 -179.955
351.315 30.0015 0.0216304 2 90 2 90 0.00256685 61.9456 0.00114259 -97.573 3.00121 -179.957
361.324 30.0015 0.0210312 2 90 2 90 0.00249575 61.9451 0.00111094 -97.5736 3.00117 -179.958
371.333 30.0014 0.0204643 2 90 2 90 0.00242849 61.9446 0.00108099 -97.5742 3.00114 -179.959
381.342 30.0014 0.0199272 2 90 2 90 0.00236475 61.9441 0.00105262 -97.5747 3.00111 -179.96
391.351 30.0014 0.0194176 2 90 2 90 0.00230428 61.9437 0.0010257 -97.5752 3.00108 -179.961
401.36 30.0013 0.0189333 2 90 2 90 0.00224682 61.9433 0.00100012 -97.5757 3.00106 -179.962
411.369 30.0013 0.0184727 2 90 2 90 0.00219216 61.9429 0.000975786 -97.5762 3.00103 -179.963
421.378 30.0013 0.0180339 2 90 2 90 0.00214009 61.9426 0.000952608 -97.5766 3.00101 -179.964
431.387 30.0012 0.0176155 2 90 2 90 0.00209045 61.9422 0.000930506 -97.577 3.00098 -179.965
441.396 30.0012 0.017216 2 90 2 90 0.00204305 61.9419 0.000909406 -97.5774 3.00096 -179.966
451.405 30.0012 0.0168343 2 90 2 90 0.00199775 61.9416 0.000889242 -97.5778 3.00094 -179.966
461.414 30.0011 0.0164691 2 90 2 90 0.00195442 61.9412 0.000869952 -97.5782 3.00092 -179.967
471.423 30.0011 0.0161195 2 90 2 90 0.00191293 61.941 0.000851482 -97.5785 3.0009 -179.968
481.432 30.0011 0.0157843 2 90 2 90 0.00187316 61.9407 0.00083378 -97.5789 3.00088 -179.968
491.441 30.0011 0.0154629 2 90 2 90 0.00183501 61.9404 0.000816798 -97.5792 3.00086 -179.969
501.45 30.0011 0.0151542 2 90 2 90 0.00179839 61.9402 0.000800495 -97.5795 3.00085 -179.97
511.459 30.001 0.0148577 2 90 2 90 0.0017632 61.9399 0.00078483 -97.5798 3.00083 -179.97
521.468 30.001 0.0145725 2 90 2 90 0.00172936 61.9397 0.000769766 -97.5801 3.00081 -179.971
531.477 30.001 0.014298 2 90 2 90 0.00169679 61.9394 0.000755269 -97.5803 3.0008 -179.971
541.486 30.001 0.0140338 2 90 2 90 0.00166543 61.9392 0.000741309 -97.5806 3.00078 -179.972
551.495 30.001 0.0137791 2 90 2 90 0.00163521 61.939 0.000727855 -97.5809 3.00077 -179.972
561.505 30.0009 0.0135334 2 90 2 90 0.00160606 61.9388 0.00071488 -97.5811 3.00076 -179.973
