f 1m 1f 2m 2f 3m 3f jL0301m jL0301f jV0200m jV0200f 
1 0.986929 99.274 1 90 0.0256489 -80.726 0.161157 -170.726 0.161157 -170.726
11.009 0.999895 90.8284 1 90 0.000209021 -89.1716 0.0144583 -179.172 0.0144583 -179.172
21.018 0.999971 90.4339 1 90 5.73415e-05 -89.5661 0.00757253 -179.566 0.00757253 -179.566
31.027 0.999987 90.2939 1 90 2.63127e-05 -89.7061 0.00512963 -179.706 0.00512963 -179.706
41.036 0.999992 90.2222 1 90 1.50422e-05 -89.7778 0.00387845 -179.778 0.00387845 -179.778
51.045 0.999995 90.1786 1 90 9.72154e-06 -89.8214 0.00311795 -179.821 0.00311795 -179.821
61.0541 0.999997 90.1494 1 90 6.79536e-06 -89.8506 0.0026068 -179.851 0.0026068 -179.851
71.0631 0.999997 90.1283 1 90 5.01595e-06 -89.8717 0.00223964 -179.872 0.00223964 -179.872
81.0721 0.999998 90.1125 1 90 3.85388e-06 -89.8875 0.00196313 -179.888 0.00196313 -179.888
91.0811 0.999998 90.1001 1 90 3.05341e-06 -89.8999 0.0017474 -179.9 0.0017474 -179.9
101.09 0.999999 90.0902 1 90 2.4787e-06 -89.9098 0.00157439 -179.91 0.00157439 -179.91
111.099 0.999999 90.0821 1 90 2.0522e-06 -89.9179 0.00143255 -179.918 0.00143255 -179.918
121.108 0.999999 90.0753 1 90 1.72701e-06 -89.9247 0.00131416 -179.925 0.00131416 -179.925
131.117 0.999999 90.0695 1 90 1.4734e-06 -89.9305 0.00121384 -179.93 0.00121384 -179.93
141.126 0.999999 90.0646 1 90 1.27182e-06 -89.9354 0.00112775 -179.935 0.00112775 -179.935
151.135 0.999999 90.0603 1 90 1.10894e-06 -89.9397 0.00105306 -179.94 0.00105306 -179.94
161.144 1 90.0566 1 90 9.75464e-07 -89.9434 0.000987656 -179.943 0.000987656 -179.943
171.153 1 90.0533 1 90 8.6471e-07 -89.9467 0.000929898 -179.947 0.000929898 -179.947
181.162 1 90.0503 1 90 7.71801e-07 -89.9497 0.000878522 -179.95 0.000878522 -179.95
191.171 1 90.0477 1 90 6.931e-07 -89.9523 0.000832526 -179.952 0.000832526 -179.952
201.18 1 90.0453 1 90 6.2585e-07 -89.9547 0.000791107 -179.955 0.000791107 -179.955
211.189 1 90.0432 1 90 5.67933e-07 -89.9568 0.000753613 -179.957 0.000753613 -179.957
221.198 1 90.0412 1 90 5.17699e-07 -89.9588 0.000719513 -179.959 0.000719513 -179.959
231.207 1 90.0394 1 90 4.73846e-07 -89.9606 0.000688365 -179.961 0.000688365 -179.961
241.216 1 90.0378 1 90 4.35339e-07 -89.9622 0.000659802 -179.962 0.000659802 -179.962
251.225 1 90.0363 1 90 4.01341e-07 -89.9637 0.000633515 -179.964 0.000633515 -179.964
261.234 1 90.0349 1 90 3.71176e-07 -89.9651 0.000609242 -179.965 0.000609242 -179.965
271.243 1 90.0336 1 90 3.44288e-07 -89.9664 0.000586761 -179.966 0.000586761 -179.966
281.252 1 90.0324 1 90 3.2022e-07 -89.9676 0.00056588 -179.968 0.00056588 -179.968
291.261 1 90.0313 1 90 2.9859e-07 -89.9687 0.000546434 -179.969 0.000546434 -179.969
301.27 1 90.0303 1 90 2.79079e-07 -89.9697 0.00052828 -179.97 0.00052828 -179.97
311.279 1 90.0293 1 90 2.61421e-07 -89.9707 0.000511293 -179.971 0.000511293 -179.971
321.288 1 90.0284 1 90 2.45386e-07 -89.9716 0.000495365 -179.972 0.000495365 -179.972
331.297 1 90.0275 1 90 2.30783e-07 -89.9725 0.000480399 -179.972 0.000480399 -179.972
341.306 1 90.0267 1 90 2.17446e-07 -89.9733 0.000466311 -179.973 0.000466311 -179.973
351.315 1 90.026 1 90 2.05233e-07 -89.974 0.000453026 -179.974 0.000453026 -179.974
361.324 1 90.0252 1 90 1.9402e-07 -89.9748 0.000440477 -179.975 0.000440477 -179.975
371.333 1 90.0246 1 90 1.83701e-07 -89.9754 0.000428604 -179.975 0.000428604 -179.975
381.342 1 90.0239 1 90 1.74185e-07 -89.9761 0.000417355 -179.976 0.000417355 -179.976
391.351 1 90.0233 1 90 1.65389e-07 -89.9767 0.00040668 -179.977 0.00040668 -179.977
401.36 1 90.0227 1 90 1.57243e-07 -89.9773 0.000396539 -179.977 0.000396539 -179.977
