f 1m 1f 2m 2f jV0200m jV0200f 
0.1 0.00999968 89.9427 10 -0 0.00999968 -90.0573
0.102353 0.010235 89.9414 10 -0 0.010235 -90.0586
0.104762 0.0104758 89.94 10 -0 0.0104758 -90.06
0.107227 0.0107223 89.9386 10 -0 0.0107223 -90.0614
0.10975 0.0109746 89.9371 10 -0 0.0109746 -90.0629
0.112332 0.0112329 89.9356 10 -0 0.0112329 -90.0644
0.114976 0.0114972 89.9341 10 -0 0.0114972 -90.0659
0.117681 0.0117677 89.9326 10 -0 0.0117677 -90.0674
0.12045 0.0120447 89.931 10 -0 0.0120447 -90.069
0.123285 0.0123281 89.9294 10 -0 0.0123281 -90.0706
0.126186 0.0126182 89.9277 10 -0 0.0126182 -90.0723
0.129155 0.0129151 89.926 10 -0 0.0129151 -90.074
0.132194 0.013219 89.9243 10 -0 0.013219 -90.0757
0.135305 0.01353 89.9225 10 -0 0.01353 -90.0775
0.138489 0.0138484 89.9207 10 -0 0.0138484 -90.0793
0.141747 0.0141743 89.9188 10 -0 0.0141743 -90.0812
0.145083 0.0145078 89.9169 10 -0 0.0145078 -90.0831
0.148497 0.0148492 89.9149 10 -0 0.0148492 -90.0851
0.151991 0.0151986 89.9129 10 -0 0.0151986 -90.0871
0.155568 0.0155563 89.9109 10 -0 0.0155563 -90.0891
0.159228 0.0159223 89.9088 10 -0 0.0159223 -90.0912
0.162975 0.016297 89.9066 10 -0 0.016297 -90.0934
0.16681 0.0166805 89.9044 10 -0 0.0166805 -90.0956
0.170735 0.017073 89.9022 10 -0 0.017073 -90.0978
0.174753 0.0174747 89.8999 10 -0 0.0174747 -90.1001
0.178865 0.0178859 89.8975 10 -0 0.0178859 -90.1025
0.183074 0.0183068 89.8951 10 -0 0.0183068 -90.1049
0.187382 0.0187376 89.8926 10 -0 0.0187376 -90.1074
0.191791 0.0191785 89.8901 10 -0 0.0191785 -90.1099
0.196304 0.0196298 89.8875 10 -0 0.0196298 -90.1125
0.200923 0.0200917 89.8849 10 -0 0.0200917 -90.1151
0.205651 0.0205644 89.8822 10 -0 0.0205644 -90.1178
0.21049 0.0210483 89.8794 10 -0 0.0210483 -90.1206
0.215443 0.0215436 89.8766 10 -0 0.0215436 -90.1234
0.220513 0.0220506 89.8737 10 -0 0.0220506 -90.1263
0.225702 0.0225694 89.8707 10 -0 0.0225694 -90.1293
0.231013 0.0231005 89.8676 10 -0 0.0231005 -90.1324
0.236449 0.0236441 89.8645 10 -0 0.0236441 -90.1355
0.242013 0.0242005 89.8613 10 -0 0.0242005 -90.1387
0.247708 0.0247699 89.8581 10 -0 0.0247699 -90.1419
0.253536 0.0253528 89.8547 10 -0 0.0253528 -90.1453
0.259502 0.0259493 89.8513 10 -0 0.0259493 -90.1487
0.265609 0.02656 89.8478 10 -0 0.02656 -90.1522
0.271859 0.0271849 89.8442 10 -0 0.0271849 -90.1558
0.278256 0.0278246 89.8406 10 -0 0.0278246 -90.1594
0.284804 0.0284794 89.8368 10 -0 0.0284794 -90.1632
0.291505 0.0291495 89.833 10 -0 0.0291495 -90.167
0.298365 0.0298354 89.8291 10 -0 0.0298354 -90.1709
0.305386 0.0305375 89.825 10 -0 0.0305375 -90.175
0.312572 0.031256 89.8209 10 -0 0.031256 -90.1791
0.319927 0.0319915 89.8167 10 -0 0.0319915 -90.1833
0.327455 0.0327443 89.8124 10 -0 0.0327443 -90.1876
0.33516 0.0335148 89.808 10 -0 0.0335148 -90.192
0.343047 0.0343034 89.8035 10 -0 0.0343034 -90.1965
0.351119 0.0351106 89.7988 10 -0 0.0351106 -90.2012
0.359381 0.0359368 89.7941 10 -0 0.0359368 -90.2059
0.367838 0.0367824 89.7893 10 -0 0.0367824 -90.2107
0.376494 0.0376479 89.7843 10 -0 0.0376479 -90.2157
0.385353 0.0385338 89.7792 10 -0 0.0385338 -90.2208
0.394421 0.0394405 89.774 10 -0 0.0394405 -90.226
0.403702 0.0403686 89.7687 10 -0 0.0403686 -90.2313
0.413201 0.0413185 89.7633 10 -0 0.0413185 -90.2367
0.422924 0.0422907 89.7577 10 -0 0.0422907 -90.2423
0.432876 0.0432859 89.752 10 -0 0.0432859 -90.248
0.443062 0.0443044 89.7462 10 -0 0.0443044 -90.2538
0.453488 0.0453469 89.7402 10 -0 0.0453469 -90.2598
0.464159 0.0464139 89.7341 10 -0 0.0464139 -90.2659
0.475081 0.0475061 89.7278 10 -0 0.0475061 -90.2722
0.48626 0.0486239 89.7214 10 -0 0.0486239 -90.2786
0.497702 0.0497681 89.7148 10 -0 0.0497681 -90.2852
0.509414 0.0509391 89.7081 10 -0 0.0509391 -90.2919
0.521401 0.0521378 89.7013 10 -0 0.0521378 -90.2987
0.53367 0.0533646 89.6942 10 -0 0.0533646 -90.3058
0.546228 0.0546203 89.687 10 -0 0.0546203 -90.313
0.559081 0.0559055 89.6797 10 -0 0.0559055 -90.3203
0.572237 0.057221 89.6721 10 -0 0.057221 -90.3279
0.585702 0.0585674 89.6644 10 -0 0.0585674 -90.3356
0.599484 0.0599455 89.6565 10 -0 0.0599455 -90.3435
0.613591 0.061356 89.6485 10 -0 0.061356 -90.3515
0.628029 0.0627997 89.6402 10 -0 0.0627997 -90.3598
0.642807 0.0642774 89.6317 10 -0 0.0642774 -90.3683
0.657933 0.0657899 89.623 10 -0 0.0657899 -90.377
0.673415 0.0673379 89.6142 10 -0 0.0673379 -90.3858
0.689261 0.0689223 89.6051 10 -0 0.0689223 -90.3949
0.70548 0.0705441 89.5958 10 -0 0.0705441 -90.4042
0.722081 0.072204 89.5863 10 -0 0.072204 -90.4137
0.739072 0.0739029 89.5766 10 -0 0.0739029 -90.4234
0.756463 0.0756418 89.5666 10 -0 0.0756418 -90.4334
0.774264 0.0774216 89.5564 10 -0 0.0774216 -90.4436
0.792483 0.0792433 89.546 10 -0 0.0792433 -90.454
0.811131 0.0811079 89.5353 10 -0 0.0811079 -90.4647
0.830218 0.0830163 89.5243 10 -0 0.0830163 -90.4757
0.849753 0.0849696 89.5132 10 -0 0.0849696 -90.4868
0.869749 0.0869689 89.5017 10 -0 0.0869689 -90.4983
0.890215 0.0890152 89.49 10 -0 0.0890152 -90.51
0.911163 0.0911097 89.478 10 -0 0.0911097 -90.522
0.932603 0.0932534 89.4657 10 -0 0.0932534 -90.5343
0.954548 0.0954475 89.4531 10 -0 0.0954475 -90.5469
0.97701 0.0976933 89.4402 10 -0 0.0976933 -90.5598
1 0.0999919 89.4271 10 -0 0.0999919 -90.5729
1.02353 0.102345 89.4136 10 -0 0.102345 -90.5864
1.04762 0.104753 89.3998 10 -0 0.104753 -90.6002
1.07227 0.107217 89.3857 10 -0 0.107217 -90.6143
1.0975 0.10974 89.3712 10 -0 0.10974 -90.6288
1.12332 0.112322 89.3564 10 -0 0.112322 -90.6436
1.14976 0.114965 89.3413 10 -0 0.114965 -90.6587
1.17681 0.117669 89.3258 10 -0 0.117669 -90.6742
1.2045 0.120438 89.3099 10 -0 0.120438 -90.6901
1.23285 0.123271 89.2937 10 -0 0.123271 -90.7063
1.26186 0.126172 89.2771 10 -0 0.126172 -90.7229
1.29155 0.12914 89.2601 10 -0 0.12914 -90.7399
1.32194 0.132178 89.2427 10 -0 0.132178 -90.7573
1.35305 0.135288 89.2248 10 -0 0.135288 -90.7752
1.38489 0.138471 89.2066 10 -0 0.138471 -90.7934
1.41747 0.141729 89.1879 10 -0 0.141729 -90.8121
1.45083 0.145063 89.1688 10 -0 0.145063 -90.8312
1.48497 0.148476 89.1493 10 -0 0.148476 -90.8507
1.51991 0.151969 89.1292 10 -0 0.151969 -90.8708
1.55568 0.155544 89.1088 10 -0 0.155544 -90.8912
1.59228 0.159203 89.0878 10 -0 0.159203 -90.9122
1.62975 0.162948 89.0663 10 -0 0.162948 -90.9337
1.6681 0.166782 89.0444 10 -0 0.166782 -90.9556
1.70735 0.170705 89.0219 10 -0 0.170705 -90.9781
1.74753 0.174721 88.9989 10 -0 0.174721 -91.0011
1.78865 0.178831 88.9753 10 -0 0.178831 -91.0247
1.83074 0.183037 88.9512 10 -0 0.183037 -91.0488
1.87382 0.187343 88.9265 10 -0 0.187343 -91.0735
1.91791 0.19175 88.9013 10 -0 0.19175 -91.0987
1.96304 0.19626 88.8754 10 -0 0.19626 -91.1246
2.00923 0.200877 88.849 10 -0 0.200877 -91.151
2.05651 0.205601 88.8219 10 -0 0.205601 -91.1781
2.1049 0.210437 88.7942 10 -0 0.210437 -91.2058
2.15443 0.215387 88.7658 10 -0 0.215387 -91.2342
2.20513 0.220453 88.7368 10 -0 0.220453 -91.2632
2.25702 0.225638 88.7071 10 -0 0.225638 -91.2929
2.31013 0.230944 88.6767 10 -0 0.230944 -91.3233
2.36449 0.236376 88.6455 10 -0 0.236376 -91.3545
2.42013 0.241934 88.6137 10 -0 0.241934 -91.3863
2.47708 0.247624 88.5811 10 -0 0.247624 -91.4189
2.53536 0.253447 88.5477 10 -0 0.253447 -91.4523
2.59502 0.259407 88.5135 10 -0 0.259407 -91.4865
2.65609 0.265507 88.4786 10 -0 0.265507 -91.5214
2.71859 0.27175 88.4428 10 -0 0.27175 -91.5572
2.78256 0.27814 88.4062 10 -0 0.27814 -91.5938
2.84804 0.284679 88.3687 10 -0 0.284679 -91.6313
2.91505 0.291372 88.3303 10 -0 0.291372 -91.6697
2.98365 0.298223 88.2911 10 -0 0.298223 -91.7089
3.05386 0.305234 88.2509 10 -0 0.305234 -91.7491
3.12572 0.312409 88.2097 10 -0 0.312409 -91.7903
3.19927 0.319753 88.1676 10 -0 0.319753 -91.8324
3.27455 0.327269 88.1245 10 -0 0.327269 -91.8755
3.3516 0.334962 88.0805 10 -0 0.334962 -91.9195
3.43047 0.342835 88.0353 10 -0 0.342835 -91.9647
3.51119 0.350892 87.9891 10 -0 0.350892 -92.0109
3.59381 0.359138 87.9418 10 -0 0.359138 -92.0582
3.67838 0.367578 87.8935 10 -0 0.367578 -92.1065
3.76494 0.376215 87.8439 10 -0 0.376215 -92.1561
3.85353 0.385055 87.7933 10 -0 0.385055 -92.2067
3.94421 0.394102 87.7414 10 -0 0.394102 -92.2586
4.03702 0.403361 87.6883 10 -0 0.403361 -92.3117
4.13201 0.412836 87.634 10 -0 0.412836 -92.366
4.22924 0.422533 87.5783 10 -0 0.422533 -92.4217
4.32876 0.432458 87.5214 10 -0 0.432458 -92.4786
4.43062 0.442614 87.4632 10 -0 0.442614 -92.5368
4.53488 0.453008 87.4036 10 -0 0.453008 -92.5964
4.64159 0.463645 87.3426 10 -0 0.463645 -92.6574
4.75081 0.474531 87.2801 10 -0 0.474531 -92.7199
4.8626 0.485671 87.2162 10 -0 0.485671 -92.7838
4.97702 0.497072 87.1508 10 -0 0.497072 -92.8492
5.09414 0.508738 87.0839 10 -0 0.508738 -92.9161
5.21401 0.520677 87.0154 10 -0 0.520677 -92.9846
5.3367 0.532895 86.9453 10 -0 0.532895 -93.0547
5.46228 0.545398 86.8735 10 -0 0.545398 -93.1265
5.59081 0.558192 86.8001 10 -0 0.558192 -93.1999
5.72237 0.571284 86.725 10 -0 0.571284 -93.275
5.85702 0.584682 86.6481 10 -0 0.584682 -93.3519
5.99484 0.598391 86.5694 10 -0 0.598391 -93.4306
6.13591 0.61242 86.4889 10 -0 0.61242 -93.5111
6.28029 0.626775 86.4065 10 -0 0.626775 -93.5935
6.42807 0.641464 86.3222 10 -0 0.641464 -93.6778
6.57933 0.656494 86.2359 10 -0 0.656494 -93.7641
