f 1m 1f 2m 2f jV0002m jV0002f jV0001m jV0001f 
1000 0 0 1 180 0 0 0 0
1291.55 0 0 1 180 0 0 0 0
1668.1 0 0 1 180 0 0 0 0
2154.43 0 0 1 180 0 0 0 0
2782.56 0 0 1 180 0 0 0 0
3593.81 0 0 1 180 0 0 0 0
4641.59 0 0 1 180 0 0 0 0
5994.84 0 0 1 180 0 0 0 0
7742.64 0 0 1 180 0 0 0 0
10000 0 0 1 180 0 0 0 0
12915.5 0 0 1 180 0 0 0 0
16681 0 0 1 180 0 0 0 0
21544.3 0 0 1 180 0 0 0 0
27825.6 0 0 1 180 0 0 0 0
35938.1 0 0 1 180 0 0 0 0
46415.9 0 0 1 180 0 0 0 0
59948.4 0 0 1 180 0 0 0 0
77426.4 0 0 1 180 0 0 0 0
100000 0 0 1 180 0 0 0 0
129155 0 0 1 180 0 0 0 0
166810 0 0 1 180 0 0 0 0
215443 0 0 1 180 0 0 0 0
278256 0 0 1 180 0 0 0 0
359381 0 0 1 180 0 0 0 0
464159 0 0 1 180 0 0 0 0
599484 0 0 1 180 0 0 0 0
774264 0 0 1 180 0 0 0 0
1e+06 0 0 1 180 0 0 0 0
1.29155e+06 0 0 1 180 0 0 0 0
1.6681e+06 0 0 1 180 0 0 0 0
2.15443e+06 0 0 1 180 0 0 0 0
2.78256e+06 0 0 1 180 0 0 0 0
3.59381e+06 0 0 1 180 0 0 0 0
4.64159e+06 0 0 1 180 0 0 0 0
5.99484e+06 0 0 1 180 0 0 0 0
7.74264e+06 0 0 1 180 0 0 0 0
1e+07 0 0 1 180 0 0 0 0
1.29155e+07 0 0 1 180 0 0 0 0
1.6681e+07 0 0 1 180 0 0 0 0
2.15443e+07 0 0 1 180 0 0 0 0
2.78256e+07 0 0 1 180 0 0 0 0
3.59381e+07 0 0 1 180 0 0 0 0
4.64159e+07 0 0 1 180 0 0 0 0
5.99484e+07 0 0 1 180 0 0 0 0
7.74264e+07 0 0 1 180 0 0 0 0
1e+08 0 0 1 180 0 0 0 0
1.29155e+08 0 0 1 180 0 0 0 0
1.6681e+08 0 0 1 180 0 0 0 0
2.15443e+08 0 0 1 180 0 0 0 0
2.78256e+08 0 0 1 180 0 0 0 0
3.59381e+08 0 0 1 180 0 0 0 0
4.64159e+08 0 0 1 180 0 0 0 0
5.99484e+08 0 0 1 180 0 0 0 0
7.74264e+08 0 0 1 180 0 0 0 0
