f 1m 1f 2m 2f jV0200m jV0200f 
1 0 0 0 0 0 0
11.009 0 0 0 0 0 0
21.018 0 0 0 0 0 0
31.027 0 0 0 0 0 0
41.036 0 0 0 0 0 0
51.045 0 0 0 0 0 0
61.0541 0 0 0 0 0 0
71.0631 0 0 0 0 0 0
81.0721 0 0 0 0 0 0
91.0811 0 0 0 0 0 0
101.09 0 0 0 0 0 0
111.099 0 0 0 0 0 0
121.108 0 0 0 0 0 0
131.117 0 0 0 0 0 0
141.126 0 0 0 0 0 0
151.135 0 0 0 0 0 0
161.144 0 0 0 0 0 0
171.153 0 0 0 0 0 0
181.162 0 0 0 0 0 0
191.171 0 0 0 0 0 0
201.18 0 0 0 0 0 0
211.189 0 0 0 0 0 0
221.198 0 0 0 0 0 0
231.207 0 0 0 0 0 0
241.216 0 0 0 0 0 0
251.225 0 0 0 0 0 0
261.234 0 0 0 0 0 0
271.243 0 0 0 0 0 0
281.252 0 0 0 0 0 0
291.261 0 0 0 0 0 0
301.27 0 0 0 0 0 0
311.279 0 0 0 0 0 0
321.288 0 0 0 0 0 0
331.297 0 0 0 0 0 0
341.306 0 0 0 0 0 0
351.315 0 0 0 0 0 0
361.324 0 0 0 0 0 0
371.333 0 0 0 0 0 0
381.342 0 0 0 0 0 0
391.351 0 0 0 0 0 0
401.36 0 0 0 0 0 0
411.369 0 0 0 0 0 0
421.378 0 0 0 0 0 0
431.387 0 0 0 0 0 0
441.396 0 0 0 0 0 0
451.405 0 0 0 0 0 0
461.414 0 0 0 0 0 0
471.423 0 0 0 0 0 0
481.432 0 0 0 0 0 0
491.441 0 0 0 0 0 0
501.45 0 0 0 0 0 0
511.459 0 0 0 0 0 0
521.468 0 0 0 0 0 0
531.477 0 0 0 0 0 0
541.486 0 0 0 0 0 0
551.495 0 0 0 0 0 0
561.505 0 0 0 0 0 0
571.514 0 0 0 0 0 0
581.523 0 0 0 0 0 0
591.532 0 0 0 0 0 0
601.541 0 0 0 0 0 0
611.55 0 0 0 0 0 0
621.559 0 0 0 0 0 0
631.568 0 0 0 0 0 0
641.577 0 0 0 0 0 0
651.586 0 0 0 0 0 0
661.595 0 0 0 0 0 0
671.604 0 0 0 0 0 0
681.613 0 0 0 0 0 0
691.622 0 0 0 0 0 0
701.631 0 0 0 0 0 0
711.64 0 0 0 0 0 0
721.649 0 0 0 0 0 0
731.658 0 0 0 0 0 0
741.667 0 0 0 0 0 0
751.676 0 0 0 0 0 0
761.685 0 0 0 0 0 0
771.694 0 0 0 0 0 0
781.703 0 0 0 0 0 0
791.712 0 0 0 0 0 0
801.721 0 0 0 0 0 0
811.73 0 0 0 0 0 0
821.739 0 0 0 0 0 0
831.748 0 0 0 0 0 0
841.757 0 0 0 0 0 0
851.766 0 0 0 0 0 0
861.775 0 0 0 0 0 0
871.784 0 0 0 0 0 0
881.793 0 0 0 0 0 0
891.802 0 0 0 0 0 0
901.811 0 0 0 0 0 0
911.82 0 0 0 0 0 0
921.829 0 0 0 0 0 0
931.838 0 0 0 0 0 0
941.847 0 0 0 0 0 0
951.856 0 0 0 0 0 0
961.865 0 0 0 0 0 0
971.874 0 0 0 0 0 0
981.883 0 0 0 0 0 0
991.892 0 0 0 0 0 0
1001.9 0 0 0 0 0 0
1011.91 0 0 0 0 0 0
1021.92 0 0 0 0 0 0
1031.93 0 0 0 0 0 0
1041.94 0 0 0 0 0 0
1051.95 0 0 0 0 0 0
1061.95 0 0 0 0 0 0
1071.96 0 0 0 0 0 0
1081.97 0 0 0 0 0 0
1091.98 0 0 0 0 0 0
