f 1m 1f 2m 2f 3m 3f jV0100m jV0100f jV0300m jV0300f 
0.1 1 0 1 0 1 -0 1 180 0 0
0.129155 1 0 1 0 1 -0 1 180 0 0
0.16681 1 0 1 0 1 -0 1 180 0 0
0.215443 1 0 1 0 1 -0 1 180 0 0
0.278256 1 0 1 0 1 -0 1 180 0 0
0.359381 1 0 1 0 1 -0 1 180 0 0
0.464159 1 0 1 0 1 -0 1 180 0 0
0.599484 1 0 1 0 1 -0 1 180 0 0
0.774264 1 0 1 0 1 -0 1 180 0 0
1 1 0 1 0 1 -0 1 180 0 0
1.29155 1 0 1 0 1 -0 1 180 0 0
1.6681 1 0 1 0 1 -0 1 180 0 0
2.15443 1 0 1 0 1 -0 1 180 0 0
2.78256 1 0 1 0 1 -0 1 180 0 0
3.59381 1 0 1 0 1 -0 1 180 0 0
4.64159 1 0 1 0 1 -0 1 180 0 0
5.99484 1 0 1 0 1 -0 1 180 0 0
7.74264 1 0 1 0 1 -0 1 180 0 0
10 1 0 1 0 1 -0 1 180 0 0
12.9155 1 0 1 0 1 -0 1 180 0 0
16.681 1 0 1 0 1 -0 1 180 0 0
21.5443 1 0 1 0 1 -0 1 180 0 0
27.8256 1 0 1 0 1 -0 1 180 0 0
35.9381 1 0 1 0 1 -0 1 180 0 0
46.4159 1 0 1 0 1 -0 1 180 0 0
59.9484 1 0 1 0 1 -0 1 180 0 0
77.4264 1 0 1 0 1 -0 1 180 0 0
100 1 0 1 0 1 -0 1 180 0 0
