f 1m 1f 2m 2f 3m 3f 4m 4f jL0402m jL0402f jL0300m jL0300f jVINm jVINf 
0.1 0.995037 -5.7106 1 6.42556e-17 0.0995038 84.2894 1.0101 2.45516e-16 0.0160763 -90 0.995037 -5.7106 1.00013 -179.079
0.102353 0.994803 -5.84405 1 -6.6488e-17 0.101821 84.1559 1.01059 4.12037e-17 0.0164625 -90 0.994803 -5.84405 1.00014 -179.057
0.104762 0.994557 -5.98059 1 -7.25059e-17 0.104191 84.0194 1.0111 -4.80948e-17 0.0168584 -90 0.994557 -5.98059 1.00014 -179.034
0.107227 0.9943 -6.12026 1 8.13386e-17 0.106616 83.8797 1.01163 -8.36752e-16 0.0172642 -90 0.9943 -6.12026 1.00015 -179.011
0.10975 0.994031 -6.26314 1 8.5027e-17 0.109095 83.7369 1.01219 9.74088e-16 0.0176802 -90 0.994031 -6.26314 1.00016 -178.987
0.112332 0.99375 -6.40931 1 -8.83272e-18 0.11163 83.5907 1.01278 2.40074e-16 0.0181068 -90 0.99375 -6.40931 1.00016 -178.963
0.114976 0.993455 -6.55883 1 9.90041e-17 0.114223 83.4412 1.0134 -1.26889e-15 0.0185441 -90 0.993455 -6.55883 1.00017 -178.938
0.117681 0.993147 -6.71177 1 -9.56069e-17 0.116875 83.2882 1.01404 -8.93055e-17 0.0189926 -90 0.993147 -6.71177 1.00018 -178.912
0.12045 0.992824 -6.86821 1 2.69835e-16 0.119586 83.1318 1.01472 1.98866e-16 0.0194525 -90 0.992824 -6.86821 1.00019 -178.886
0.123285 0.992486 -7.02823 1 2.14994e-16 0.122358 82.9718 1.01543 -7.95002e-16 0.0199242 -90 0.992486 -7.02823 1.0002 -178.859
0.126186 0.992132 -7.1919 1 1.98785e-16 0.125193 82.8081 1.01618 1.32826e-15 0.0204081 -90 0.992132 -7.1919 1.00021 -178.831
0.129155 0.991762 -7.3593 1 -1.2327e-17 0.128091 82.6407 1.01696 1.17778e-16 0.0209044 -90 0.991762 -7.3593 1.00022 -178.802
0.132194 0.991375 -7.53051 1 1.30452e-16 0.131054 82.4695 1.01779 1.45148e-15 0.0214136 -90 0.991375 -7.53051 1.00023 -178.773
0.135305 0.99097 -7.7056 1 -4.75608e-18 0.134083 82.2944 1.01865 -2.03626e-16 0.0219361 -90 0.99097 -7.7056 1.00024 -178.743
0.138489 0.990546 -7.88467 1 -7.54178e-17 0.13718 82.1153 1.01955 1.0633e-15 0.0224722 -90 0.990546 -7.88467 1.00025 -178.713
0.141747 0.990103 -8.06779 1 9.99747e-18 0.140345 81.9322 1.0205 -8.80838e-16 0.0230224 -90 0.990103 -8.06779 1.00026 -178.681
0.145083 0.989639 -8.25504 1 1.28317e-16 0.14358 81.745 1.0215 6.83952e-16 0.0235872 -90 0.989639 -8.25504 1.00028 -178.649
0.148497 0.989153 -8.44652 1 3.34867e-17 0.146886 81.5535 1.02255 -2.98522e-15 0.024167 -90 0.989153 -8.44652 1.00029 -178.616
0.151991 0.988646 -8.64231 1 2.9478e-16 0.150265 81.3577 1.02365 -4.19296e-16 0.0247622 -90 0.988646 -8.64231 1.00031 -178.582
