f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jL0804m jL0804f jL0700m jL0700f jVINm jVINf jV0300m jV0300f 
0.1 0.5 0 1 0 1 0 1 9.93923e-17 0.5 -2.78299e-15 0.995037 -5.7106 0.0995038 84.2894 1.0101 1.96797e-16 0.0160763 -90 0.995037 -5.7106 1.50009 -179.386 0 0
0.102353 0.5 0 1 0 1 0 1 0 0.5 -3.97569e-16 0.994803 -5.84405 0.101821 84.1559 1.01059 -9.83511e-16 0.0164625 -90 0.994803 -5.84405 1.50009 -179.371 0 0
0.104762 0.5 0 1 0 1 0 1 2.98177e-16 0.5 -9.93923e-16 0.994557 -5.98059 0.104191 84.0194 1.0111 2.94905e-16 0.0168584 -90 0.994557 -5.98059 1.50009 -179.356 0 0
0.107227 0.5 0 1 0 1 0 1 0 0.5 3.97569e-16 0.9943 -6.12026 0.106616 83.8797 1.01163 2.94749e-16 0.0172642 -90 0.9943 -6.12026 1.5001 -179.341 0 0
0.10975 0.5 0 1 0 1 0 1 -9.93923e-17 0.5 1.78906e-15 0.994031 -6.26314 0.109095 83.7369 1.01219 2.94585e-16 0.0176802 -90 0.994031 -6.26314 1.5001 -179.325 0 0
0.112332 0.5 0 1 0 1 0 1 -9.93923e-17 0.5 -1.98785e-16 0.99375 -6.40931 0.11163 83.5907 1.01278 -7.85105e-16 0.0181068 -90 0.99375 -6.40931 1.50011 -179.308 0 0
0.114976 0.5 0 1 0 1 0 1 -9.93923e-17 0.5 -1.78906e-15 0.993455 -6.55883 0.114223 83.4412 1.0134 -7.84627e-16 0.0185441 -90 0.993455 -6.55883 1.50011 -179.292 0 0
0.117681 0.5 0 1 0 1 0 1 9.93923e-17 0.5 3.37934e-15 0.993147 -6.71177 0.116875 83.2882 1.01404 7.84127e-16 0.0189926 -90 0.993147 -6.71177 1.50012 -179.275 0 0
0.12045 0.5 0 1 0 1 0 1 0 0.5 2.78299e-15 0.992824 -6.86821 0.119586 83.1318 1.01472 2.25286e-15 0.0194525 -90 0.992824 -6.86821 1.50013 -179.257 0 0
0.123285 0.5 0 1 0 1 0 1 -9.93923e-17 0.5 -1.98785e-16 0.992486 -7.02823 0.122358 82.9718 1.01543 -2.74069e-15 0.0199242 -90 0.992486 -7.02823 1.50013 -179.239 0 0
0.126186 0.5 0 1 0 1 0 1 0 0.5 -3.18055e-15 0.992132 -7.1919 0.125193 82.8081 1.01618 -1.27153e-15 0.0204081 -90 0.992132 -7.1919 1.50014 -179.221 0 0
0.129155 0.5 0 1 0 1 0 1 9.93923e-17 0.5 -1.98785e-16 0.991762 -7.3593 0.128091 82.6407 1.01696 3.90937e-16 0.0209044 -90 0.991762 -7.3593 1.50015 -179.202 0 0
0.132194 0.5 0 1 0 1 0 1 -9.93923e-17 0.5 -5.1684e-15 0.991375 -7.53051 0.131054 82.4695 1.01779 -1.07421e-15 0.0214136 -90 0.991375 -7.53051 1.50015 -179.182 0 0
0.135305 0.5 0 1 0 1 0 1 0 0.5 0 0.99097 -7.7056 0.134083 82.2944 1.01865 -9.75727e-17 0.0219361 -90 0.99097 -7.7056 1.50016 -179.162 0 0
0.138489 0.5 0 1 0 1 0 1 1.98785e-16 0.5 3.97569e-16 0.990546 -7.88467 0.13718 82.1153 1.01955 -3.89944e-16 0.0224722 -90 0.990546 -7.88467 1.50017 -179.142 0 0
0.141747 0.5 0 1 0 1 0 1 9.93923e-17 0.5 -4.77083e-15 0.990103 -8.06779 0.140345 81.9322 1.0205 1.07135e-15 0.0230224 -90 0.990103 -8.06779 1.50018 -179.121 0 0
0.145083 0.5 0 1 0 1 0 1 9.93923e-17 0.5 1.19271e-15 0.989639 -8.25504 0.14358 81.745 1.0215 -5.83801e-16 0.0235872 -90 0.989639 -8.25504 1.50019 -179.099 0 0
0.148497 0.5 0 1 0 1 0 1 -9.93923e-17 0.5 -5.96354e-16 0.989153 -8.44652 0.146886 81.5535 1.02255 9.72006e-17 0.024167 -90 0.989153 -8.44652 1.50019 -179.077 0 0
0.151991 0.5 0 1 0 1 0 1 9.93923e-17 0.5 1.98785e-16 0.988646 -8.64231 0.150265 81.3577 1.02365 -5.82577e-16 0.0247622 -90 0.988646 -8.64231 1.5002 -179.054 0 0
0.155568 0.5 0 1 0 1 0 1 9.93923e-17 0.5 -3.37934e-15 0.988115 -8.8425 0.153719 81.1575 1.0248 1.93974e-15 0.0253735 -90 0.988115 -8.8425 1.50021 -179.031 0 0
0.159228 0.5 0 1 0 1 0 1 -9.93923e-17 0.5 -4.17448e-15 0.987559 -9.04717 0.157247 80.9528 1.02601 8.71851e-16 0.0260012 -90 0.987559 -9.04717 1.50023 -179.007 0 0
0.162975 0.5 0 1 0 1 0 1 1.98785e-16 0.5 -6.75868e-15 0.986978 -9.25641 0.160853 80.7436 1.02729 -1.45129e-15 0.0266461 -90 0.986978 -9.25641 1.50024 -178.982 0 0
0.16681 0.5 0 1 0 1 0 1 -1.98785e-16 0.5 -3.77691e-15 0.986371 -9.47032 0.164537 80.5297 1.02862 -5.7976e-16 0.0273086 -90 0.986371 -9.47032 1.50025 -178.957 0 0
0.170735 0.5 0 1 0 1 0 1 -1.98785e-16 0.5 -3.97569e-16 0.985736 -9.68899 0.1683 80.311 1.03003 -1.73691e-15 0.0279893 -90 0.985736 -9.68899 1.50026 -178.931 0 0
0.174753 0.5 0 1 0 1 0 1 9.93923e-17 0.5 1.98785e-16 0.985072 -9.91251 0.172144 80.0875 1.0315 7.70856e-16 0.0286889 -90 0.985072 -9.91251 1.50027 -178.904 0 0
0.178865 0.5 0 1 0 1 0 1 0 0.5 0 0.984378 -10.141 0.176071 79.859 1.03305 -1.5394e-15 0.0294081 -90 0.984378 -10.141 1.50029 -178.877 0 0
0.183074 0.5 0 1 0 1 0 1 0 0.5 0 0.983652 -10.3745 0.180081 79.6255 1.03468 2.97789e-15 0.0301476 -90 0.983652 -10.3745 1.5003 -178.849 0 0
0.187382 0.5 0 1 0 1 0 1 -9.93923e-17 0.5 -3.77691e-15 0.982893 -10.6131 0.184176 79.3869 1.03639 3.26068e-15 0.030908 -90 0.982893 -10.6131 1.50032 -178.82 0 0
0.191791 0.5 0 1 0 1 0 1 0 0.5 -8.74653e-15 0.9821 -10.857 0.188358 79.143 1.03819 -9.57363e-16 0.0316902 -90 0.9821 -10.857 1.50033 -178.79 0 0
0.196304 0.5 0 1 0 1 0 1 0 0.5 -3.57812e-15 0.981272 -11.1062 0.192628 78.8938 1.04008 -7.64498e-16 0.032495 -90 0.981272 -11.1062 1.50035 -178.759 0 0
0.200923 0.5 0 1 0 1 0 1 5.96354e-16 0.5 1.03368e-14 0.980406 -11.3608 0.196987 78.6392 1.04207 4.95975e-15 0.0333233 -90 0.980406 -11.3608 1.50037 -178.727 0 0
0.205651 0.5 0 1 0 1 0 1 -1.98785e-16 0.5 -5.56597e-15 0.979502 -11.6209 0.201436 78.3791 1.04416 -1.33264e-15 0.0341758 -90 0.979502 -11.6209 1.50039 -178.695 0 0
0.21049 0.5 0 1 0 1 0 1 -1.98785e-16 0.5 -3.97569e-15 0.978557 -11.8867 0.205977 78.1133 1.04636 1.32984e-15 0.0350537 -90 0.978557 -11.8867 1.50041 -178.661 0 0
0.215443 0.5 0 1 0 1 0 1 5.96354e-16 0.5 -2.38542e-15 0.97757 -12.1582 0.210611 77.8418 1.04868 -2.46425e-15 0.035958 -90 0.97757 -12.1582 1.50043 -178.627 0 0
0.220513 0.5 0 1 0 1 0 1 3.97569e-16 0.5 -3.18055e-15 0.976539 -12.4355 0.21534 77.5645 1.05111 -9.45593e-16 0.0368896 -90 0.976539 -12.4355 1.50045 -178.591 0 0
0.225702 0.5 0 1 0 1 0 1 3.97569e-16 0.5 7.95139e-16 0.975463 -12.7187 0.220164 77.2813 1.05368 -3.20719e-15 0.0378498 -90 0.975463 -12.7187 1.50048 -178.555 0 0
0.231013 0.5 0 1 0 1 0 1 -3.97569e-16 0.5 2.38542e-15 0.974339 -13.0079 0.225085 76.9921 1.05638 1.12906e-15 0.0388397 -90 0.974339 -13.0079 1.5005 -178.517 0 0
0.236449 0.5 0 1 0 1 0 1 -1.98785e-16 0.5 3.97569e-15 0.973166 -13.3032 0.230104 76.6968 1.05922 1.50137e-15 0.0398606 -90 0.973166 -13.3032 1.50053 -178.478 0 0
0.242013 0.5 0 1 0 1 0 1 1.98785e-16 0.5 4.77083e-15 0.971942 -13.6047 0.235223 76.3953 1.06221 1.30999e-15 0.0409139 -90 0.971942 -13.6047 1.50056 -178.438 0 0
0.247708 0.5 0 1 0 1 0 1 0 0.5 3.18055e-15 0.970664 -13.9126 0.240441 76.0874 1.06537 7.4635e-16 0.0420011 -90 0.970664 -13.9126 1.50059 -178.396 0 0
0.253536 0.5 0 1 0 1 0 1 1.98785e-16 0.5 -1.59028e-15 0.969331 -14.2268 0.245761 75.7732 1.0687 -1.86007e-16 0.0431237 -90 0.969331 -14.2268 1.50062 -178.353 0 0
0.259502 0.5 0 1 0 1 0 1 3.97569e-16 0.5 3.18055e-15 0.96794 -14.5475 0.251183 75.4525 1.0722 -1.29779e-15 0.0442833 -90 0.96794 -14.5475 1.50065 -178.309 0 0
0.265609 0.5 0 1 0 1 0 1 0 0.5 6.36111e-15 0.966489 -14.8748 0.256708 75.1252 1.0759 9.23804e-16 0.0454817 -90 0.966489 -14.8748 1.50069 -178.263 0 0
0.271859 0.5 0 1 0 1 0 1 3.97569e-16 0.5 -1.59028e-15 0.964976 -15.2088 0.262338 74.7912 1.07981 1.84093e-15 0.0467208 -90 0.964976 -15.2088 1.50073 -178.216 0 0
0.278256 0.5 0 1 0 1 0 1 3.97569e-16 0.5 0 0.963399 -15.5496 0.268072 74.4504 1.08392 1.65054e-15 0.0480026 -90 0.963399 -15.5496 1.50077 -178.167 0 0
0.284804 0.5 0 1 0 1 0 1 1.98785e-16 0.5 3.57812e-15 0.961755 -15.8972 0.273911 74.1028 1.08827 -1.09596e-15 0.0493292 -90 0.961755 -15.8972 1.50081 -178.116 0 0
0.291505 0.5 0 1 0 1 0 1 -1.98785e-16 0.5 -4.37326e-15 0.960042 -16.2517 0.279857 73.7483 1.09287 -4.36543e-15 0.0507031 -90 0.960042 -16.2517 1.50086 -178.064 0 0
0.298365 0.5 0 1 0 1 0 1 -3.97569e-16 0.5 3.97569e-15 0.958256 -16.6133 0.28591 73.3867 1.09772 3.62177e-15 0.0521267 -90 0.958256 -16.6133 1.50091 -178.01 0 0
0.305386 0.5 0 1 0 1 0 1 1.98785e-16 0.5 9.93923e-15 0.956397 -16.9819 0.29207 73.0181 1.10285 1.80246e-16 0.0536027 -90 0.956397 -16.9819 1.50096 -177.953 0 0
0.312572 0.5 0 1 0 1 0 1 0 0.5 -3.18055e-15 0.95446 -17.3578 0.298337 72.6422 1.10828 -1.43491e-15 0.0551341 -90 0.95446 -17.3578 1.50101 -177.895 0 0
0.319927 0.5 0 1 0 1 0 1 -1.98785e-16 0.5 -1.19271e-15 0.952444 -17.7409 0.304713 72.2591 1.11402 -1.42751e-15 0.0567239 -90 0.952444 -17.7409 1.50107 -177.834 0 0
0.327455 0.5 0 1 0 1 0 1 0 0.5 -3.18055e-15 0.950346 -18.1313 0.311196 71.8687 1.12011 -2.83951e-15 0.0583756 -90 0.950346 -18.1313 1.50114 -177.771 0 0
0.33516 0.5 0 1 0 1 0 1 0 0.5 0 0.948162 -18.5291 0.317787 71.4709 1.12655 2.11746e-15 0.0600929 -90 0.948162 -18.5291 1.5012 -177.706 0 0
0.343047 0.5 0 1 0 1 0 1 -5.96354e-16 0.5 7.55382e-15 0.945891 -18.9344 0.324485 71.0656 1.13338 1.40313e-15 0.0618798 -90 0.945891 -18.9344 1.50128 -177.638 0 0
0.351119 0.5 0 1 0 1 0 1 -1.19271e-15 0.5 0 0.943529 -19.3472 0.331291 70.6528 1.14062 -3.137e-15 0.0637407 -90 0.943529 -19.3472 1.50135 -177.567 0 0
0.359381 0.5 0 1 0 1 0 1 -3.97569e-16 0.5 1.59028e-15 0.941073 -19.7675 0.338204 70.2325 1.14831 3.11599e-15 0.0656804 -90 0.941073 -19.7675 1.50144 -177.493 0 0
0.367838 0.5 0 1 0 1 0 1 -3.97569e-16 0.5 -4.77083e-15 0.93852 -20.1955 0.345224 69.8045 1.15648 -3.43776e-15 0.067704 -90 0.93852 -20.1955 1.50153 -177.416 0 0
0.376494 0.5 0 1 0 1 0 1 7.95139e-16 0.5 -1.59028e-15 0.935869 -20.631 0.352349 69.369 1.16516 -1.36486e-15 0.0698174 -90 0.935869 -20.631 1.50162 -177.335 0 0
0.385353 0.5 0 1 0 1 0 1 7.95139e-16 0.5 3.97569e-15 0.933115 -21.0743 0.359579 68.9257 1.17439 3.04678e-15 0.0720267 -90 0.933115 -21.0743 1.50173 -177.251 0 0
0.394421 0.5 0 1 0 1 0 1 7.95139e-16 0.5 -1.59028e-15 0.930256 -21.5253 0.366912 68.4747 1.18423 3.3572e-16 0.0743388 -90 0.930256 -21.5253 1.50184 -177.163 0 0
0.403702 0.5 0 1 0 1 0 1 3.97569e-16 0.5 -4.77083e-15 0.927288 -21.984 0.374348 68.016 1.19471 3.32775e-16 0.0767615 -90 0.927288 -21.984 1.50196 -177.07 0 0
0.413201 0.5 0 1 0 1 0 1 -3.97569e-16 0.5 7.95139e-15 0.92421 -22.4505 0.381885 67.5495 1.20589 5.93442e-15 0.079303 -90 0.92421 -22.4505 1.50209 -176.974 0 0
