f 1m 1f 2m 2f jL0200m jL0200f jL0100m jL0100f jV0200m jV0200f 
1 0.577925 -50.0485 1 -0 0.650221 -59.0916 0.577925 129.951 0.650221 120.908 
1.00231 0.577142 -50.1135 1 -0 0.649303 -59.1361 0.577142 129.886 0.649303 120.864 
1.00462 0.576358 -50.1785 1 -0 0.648385 -59.1806 0.576358 129.822 0.648385 120.819 
1.00694 0.575575 -50.2434 1 -0 0.647466 -59.2252 0.575575 129.757 0.647466 120.775 
1.00926 0.57479 -50.3083 1 -0 0.646548 -59.2698 0.57479 129.692 0.646548 120.73 
1.01159 0.574006 -50.3732 1 -0 0.645629 -59.3143 0.574006 129.627 0.645629 120.686 
1.01393 0.573221 -50.4381 1 -0 0.644711 -59.359 0.573221 129.562 0.644711 120.641 
1.01627 0.572435 -50.5029 1 -0 0.643792 -59.4036 0.572435 129.497 0.643792 120.596 
1.01861 0.571649 -50.5677 1 -0 0.642872 -59.4482 0.571649 129.432 0.642872 120.552 
1.02096 0.570863 -50.6325 1 -0 0.641953 -59.4929 0.570863 129.368 0.641953 120.507 
1.02332 0.570076 -50.6972 1 -0 0.641033 -59.5375 0.570076 129.303 0.641033 120.462 
1.02568 0.56929 -50.7619 1 -0 0.640114 -59.5822 0.56929 129.238 0.640114 120.418 
1.02804 0.568502 -50.8266 1 -0 0.639194 -59.6269 0.568502 129.173 0.639194 120.373 
1.03042 0.567715 -50.8913 1 -0 0.638274 -59.6716 0.567715 129.109 0.638274 120.328 
1.03279 0.566926 -50.9559 1 -0 0.637354 -59.7163 0.566926 129.044 0.637354 120.284 
1.03518 0.566138 -51.0205 1 -0 0.636434 -59.7611 0.566138 128.98 0.636434 120.239 
1.03757 0.565349 -51.0851 1 -0 0.635513 -59.8058 0.565349 128.915 0.635513 120.194 
1.03996 0.56456 -51.1496 1 -0 0.634593 -59.8506 0.56456 128.85 0.634593 120.149 
1.04236 0.563771 -51.2141 1 -0 0.633672 -59.8954 0.563771 128.786 0.633672 120.105 
1.04477 0.562981 -51.2786 1 -0 0.632751 -59.9401 0.562981 128.721 0.632751 120.06 
1.04718 0.562191 -51.343 1 -0 0.63183 -59.9849 0.562191 128.657 0.63183 120.015 
1.04959 0.561401 -51.4074 1 -0 0.630909 -60.0297 0.561401 128.593 0.630909 119.97 
1.05202 0.56061 -51.4718 1 -0 0.629988 -60.0746 0.56061 128.528 0.629988 119.925 
1.05444 0.559819 -51.5361 1 -0 0.629067 -60.1194 0.559819 128.464 0.629067 119.881 
1.05688 0.559028 -51.6004 1 -0 0.628146 -60.1642 0.559028 128.4 0.628146 119.836 
1.05931 0.558237 -51.6647 1 -0 0.627224 -60.2091 0.558237 128.335 0.627224 119.791 
1.06176 0.557445 -51.7289 1 -0 0.626303 -60.2539 0.557445 128.271 0.626303 119.746 
1.06421 0.556653 -51.7931 1 -0 0.625381 -60.2988 0.556653 128.207 0.625381 119.701 
1.06666 0.55586 -51.8573 1 -0 0.62446 -60.3436 0.55586 128.143 0.62446 119.656 
1.06913 0.555068 -51.9214 1 -0 0.623538 -60.3885 0.555068 128.079 0.623538 119.611 
1.07159 0.554275 -51.9855 1 -0 0.622616 -60.4334 0.554275 128.015 0.622616 119.567 
1.07407 0.553482 -52.0496 1 -0 0.621695 -60.4783 0.553482 127.95 0.621695 119.522 
1.07654 0.552688 -52.1136 1 -0 0.620773 -60.5232 0.552688 127.886 0.620773 119.477 
1.07903 0.551895 -52.1776 1 -0 0.619851 -60.5681 0.551895 127.822 0.619851 119.432 
1.08152 0.551101 -52.2415 1 -0 0.618929 -60.613 0.551101 127.758 0.618929 119.387 
1.08401 0.550307 -52.3054 1 -0 0.618007 -60.6579 0.550307 127.695 0.618007 119.342 
1.08652 0.549513 -52.3693 1 -0 0.617085 -60.7028 0.549513 127.631 0.617085 119.297 
1.08902 0.548718 -52.4331 1 -0 0.616163 -60.7478 0.548718 127.567 0.616163 119.252 
1.09154 0.547923 -52.4969 1 -0 0.615241 -60.7927 0.547923 127.503 0.615241 119.207 
1.09405 0.547128 -52.5607 1 -0 0.614319 -60.8376 0.547128 127.439 0.614319 119.162 
1.09658 0.546333 -52.6244 1 -0 0.613397 -60.8825 0.546333 127.376 0.613397 119.117 
1.09911 0.545538 -52.6881 1 -0 0.612475 -60.9275 0.545538 127.312 0.612475 119.073 
1.10165 0.544743 -52.7518 1 -0 0.611553 -60.9724 0.544743 127.248 0.611553 119.028 
1.10419 0.543947 -52.8154 1 -0 0.610631 -61.0174 0.543947 127.185 0.610631 118.983 
1.10674 0.543151 -52.8789 1 -0 0.609709 -61.0623 0.543151 127.121 0.609709 118.938 
1.10929 0.542355 -52.9425 1 -0 0.608787 -61.1072 0.542355 127.058 0.608787 118.893 
1.11185 0.541559 -53.006 1 -0 0.607866 -61.1522 0.541559 126.994 0.607866 118.848 
1.11442 0.540762 -53.0694 1 -0 0.606944 -61.1971 0.540762 126.931 0.606944 118.803 
1.11699 0.539966 -53.1328 1 -0 0.606022 -61.2421 0.539966 126.867 0.606022 118.758 
1.11956 0.539169 -53.1962 1 -0 0.6051 -61.287 0.539169 126.804 0.6051 118.713 
1.12215 0.538373 -53.2595 1 -0 0.604178 -61.332 0.538373 126.74 0.604178 118.668 
1.12474 0.537576 -53.3228 1 -0 0.603257 -61.3769 0.537576 126.677 0.603257 118.623 
1.12733 0.536779 -53.386 1 -0 0.602335 -61.4218 0.536779 126.614 0.602335 118.578 
1.12993 0.535981 -53.4492 1 -0 0.601413 -61.4668 0.535981 126.551 0.601413 118.533 
1.13254 0.535184 -53.5124 1 -0 0.600492 -61.5117 0.535184 126.488 0.600492 118.488 
1.13515 0.534387 -53.5755 1 -0 0.599571 -61.5567 0.534387 126.424 0.599571 118.443 
1.13777 0.533589 -53.6386 1 -0 0.598649 -61.6016 0.533589 126.361 0.598649 118.398 
1.1404 0.532792 -53.7016 1 -0 0.597728 -61.6465 0.532792 126.298 0.597728 118.353 
1.14303 0.531994 -53.7646 1 -0 0.596807 -61.6915 0.531994 126.235 0.596807 118.309 
1.14567 0.531196 -53.8275 1 -0 0.595886 -61.7364 0.531196 126.172 0.595886 118.264 
1.14831 0.530398 -53.8904 1 -0 0.594965 -61.7813 0.530398 126.11 0.594965 118.219 
1.15096 0.5296 -53.9533 1 -0 0.594044 -61.8262 0.5296 126.047 0.594044 118.174 
1.15362 0.528802 -54.0161 1 -0 0.593123 -61.8711 0.528802 125.984 0.593123 118.129 
1.15628 0.528004 -54.0789 1 -0 0.592203 -61.916 0.528004 125.921 0.592203 118.084 
1.15895 0.527206 -54.1416 1 -0 0.591282 -61.9609 0.527206 125.858 0.591282 118.039 
1.16162 0.526408 -54.2043 1 -0 0.590362 -62.0058 0.526408 125.796 0.590362 117.994 
1.1643 0.525609 -54.2669 1 -0 0.589442 -62.0507 0.525609 125.733 0.589442 117.949 
1.16699 0.524811 -54.3295 1 -0 0.588522 -62.0956 0.524811 125.671 0.588522 117.904 
1.16968 0.524013 -54.392 1 -0 0.587602 -62.1405 0.524013 125.608 0.587602 117.86 
1.17238 0.523214 -54.4545 1 -0 0.586682 -62.1853 0.523214 125.546 0.586682 117.815 
1.17509 0.522416 -54.5169 1 -0 0.585762 -62.2302 0.522416 125.483 0.585762 117.77 
